cluster_id,is_noise,count,share,mean__high_risk_shortage,mean__low_risk_shortage,mean__overstocking,mean__normal_inventory,mean__understocking,mean__unequal_supply_regions,mean__equal_supply_regions,mean__award_decision_lag_days,mean__log1p_Quantity,mean__log1p_Approved_Budget_of_the_Contract,mean__log1p_Item_Budget,mean__log1p_Contract_Amount,z__high_risk_shortage,z__low_risk_shortage,z__overstocking,z__normal_inventory,z__understocking,z__unequal_supply_regions,z__equal_supply_regions,z__award_decision_lag_days,z__log1p_Quantity,z__log1p_Approved_Budget_of_the_Contract,z__log1p_Item_Budget,z__log1p_Contract_Amount
-1,True,357290,0.7327447421580993,0.30116109338222175,0.6988389064523599,0.4801313613705087,0.6542503577458285,0.519868638674336,0.7094498101328892,0.290550177733102,0.11219789716453918,0.28681662458620727,0.47086932965150496,0.6297820624516807,0.5413237890815047,0.20005223731114433,-0.20005223725864194,0.09974107900628021,-0.14602039913501325,-0.099741078702233,0.01761960084839413,-0.017619599673149827,0.12771592148238053,0.26478425058232946,0.15696609815491452,-0.1580881772959596,-0.18791783487056501
0,False,18695,0.038340460003486426,0.18117582584862268,0.8188241741604707,0.3814770355968441,0.7938148349253811,0.6185229641604707,0.5839085267996792,0.416091458772399,4.0155887424445036e-05,1.751978347151645e-05,0.2949048809933249,0.7489912318726932,0.6318916403423376,-0.4200726989858113,0.4200726979860786,-0.36150310585826867,0.43042554816565787,0.36150310514784373,-0.464890791748507,0.46489079558687474,-0.5378103530789645,-0.7906764744759991,-0.596528262027831,0.4764346770405022,0.31578851099154676
1,False,91,0.0001866264701961629,0.03144921428571429,0.9685507857142857,0.8809797420879121,0.22140162670329674,0.11902029329670331,0.7492407457142856,0.2507592457692308,0.0,0.5578353646153845,0.4106750397802198,0.8146103292307689,0.7510283130769233,-1.193911082364065,1.1939110788787728,1.9738503303578154,-1.9338241572696915,-1.9738501661678898,0.1705536751179584,-0.1705536636775021,-0.5380486317555407,1.26217103131283,-0.10079084240371614,0.8257099648128637,0.9783845342590263
2,False,35,7.17794116139088e-05,0.01635359142857143,0.9836464085714285,0.8965294937142857,0.19252927428571429,0.10347049934285713,0.739897816,0.2601021762857143,0.0,0.5686686802857142,0.4222978668571429,0.8211581828571428,0.760272114,-1.2719304288644777,1.2719304251333265,2.0465509692553696,-2.053076211062292,-2.046551003013474,0.13464468514467667,-0.13464466976669218,-0.5380486317555407,1.302039144639252,-0.051020933091789185,0.8605626761685706,1.02979528454204
3,False,66,0.00013535546190051375,0.04336179545454546,0.9566382045454545,0.8258845334848485,0.3237006092424242,0.17411547272727274,0.6110177712121211,0.3889822216666667,0.0,0.506333443181818,0.35659433590909084,0.7841432448484849,0.7069276713636363,-1.1323427849363403,1.1323427816450653,1.7162605654613015,-1.5112966267018935,-1.716260537478998,-0.3606980368462442,0.3606980662886118,-0.5380486317555407,1.0726367739602574,-0.3323689007691695,0.6635407169315918,0.733112367829915
4,False,68,0.00013945714256416566,0.42086448529411763,0.5791355147058823,0.5893254063235294,0.7629360807352941,0.4106745970588235,0.4933942558823529,0.5066057372058823,0.0,0.0,0.7528180852941178,0.9998281094117648,0.9999879558823528,0.818720343902708,-0.8187203410456866,0.610262212889126,0.3028864130627527,-0.6102621973461072,-0.8127769630251078,0.8127770040281049,-0.5380486317555407,-0.7907409497238505,1.3642940490976676,1.8115813967263317,2.3630099857727607
5,False,32,6.56268906184309e-05,0.32196133125000004,0.67803866875,0.07692777384374999,0.29553450875,0.923072225625,0.74252742875,0.25747256828125,0.0,0.0,0.0,0.5082683746875,0.3050788746875,0.3075549870058562,-0.3075549857596467,-1.7853796048034811,-1.627631634063639,1.7853796037621177,0.14475144402663442,-0.14475141064992275,-0.5380486317555407,-0.7907409497238505,-1.8593354160483953,-0.8048774500973758,-1.5018284654231262
6,False,66,0.00013535546190051375,0.017344718181818184,0.9826552818181817,0.944761959848485,0.10297277545454547,0.05523804045454545,0.6642365487878789,0.3357634390909091,0.0,0.6275380765151515,0.48372407606060613,0.8557634145454546,0.8102638731818184,-1.2668079465184912,1.266807942803482,2.2720549636480256,-2.422973206694272,-2.272054963690276,-0.15615485726562603,0.15615486262440703,-0.5380486317555407,1.5186867372836041,0.2120111881983735,1.0447583256516524,1.3078317620573485
7,False,52,0.00010664369725495022,0.341223975,0.658776025,0.3920954488461537,0.8807278280769231,0.6079045548076922,0.5865517965384617,0.4134481959615384,0.0,0.04094154399999999,0.15023663653846153,0.667888946153846,0.5382608421153846,0.4071109239464868,-0.4071109223865512,-0.3118582339753151,0.7894040194963093,0.31185825144706336,-0.45473154304930197,0.454731573273019,-0.5380486317555407,-0.6400703549011456,-1.2160096807207024,0.044745956470796266,-0.20495286222735296
8,False,42,8.613529393669055e-05,0.2725598571428572,0.7274401428571429,0.0987041804047619,0.33596825047619044,0.9012958188095236,0.6641851738095239,0.33581482166666665,0.0,0.0,0.0,0.5367972057142856,0.3488624478571429,0.05223125757308208,-0.052231257131462296,-1.6835671316580387,-1.4606273431201886,1.6835671293541574,-0.15635231391349147,0.15635234847713214,-0.5380486317555407,-0.7907409497238505,-1.8593354160483953,-0.6530250768116693,-1.2583197220551057
