value,count,share_within_cluster
Region XII,716,0.33694117647058824
Caraga,435,0.20470588235294118
Region VIII,315,0.14823529411764705
NCR,141,0.06635294117647059
Region IV-B,80,0.03764705882352941
Region IX,72,0.03388235294117647
Region II,67,0.03152941176470588
Region I,52,0.02447058823529412
Region XI,41,0.019294117647058823
Negros Island Region,37,0.017411764705882352
