value,count,share_within_cluster
Metro Manila,38648,0.9997671831751042
Quezon,2,5.173707219908425e-05
Pampanga,2,5.173707219908425e-05
Agusan Del Sur,1,2.5868536099542126e-05
Davao Del Sur,1,2.5868536099542126e-05
Negros Oriental,1,2.5868536099542126e-05
Albay,1,2.5868536099542126e-05
Benguet,1,2.5868536099542126e-05
