value,count,share_within_cluster
NCR,38648,0.9997671831751042
Region IV-A,2,5.173707219908425e-05
Region III,2,5.173707219908425e-05
Caraga,1,2.5868536099542126e-05
Region XI,1,2.5868536099542126e-05
Negros Island Region,1,2.5868536099542126e-05
Region V,1,2.5868536099542126e-05
CAR,1,2.5868536099542126e-05
