cluster_id,count,share,mean__high_risk_shortage,mean__low_risk_shortage,mean__overstocking,mean__normal_inventory,mean__understocking,mean__unequal_supply_regions,mean__equal_supply_regions,mean__award_decision_lag_days,mean__log1p_Quantity,mean__log1p_Approved_Budget_of_the_Contract,mean__log1p_Item_Budget,mean__log1p_Contract_Amount,z__high_risk_shortage,z__low_risk_shortage,z__overstocking,z__normal_inventory,z__understocking,z__unequal_supply_regions,z__equal_supply_regions,z__award_decision_lag_days,z__log1p_Quantity,z__log1p_Approved_Budget_of_the_Contract,z__log1p_Item_Budget,z__log1p_Contract_Amount
0,89312,0.18316465171604066,0.23743705357911593,0.7625629456650831,0.5742035674154649,0.7807948011491883,0.42579643188548455,0.7111933511534845,0.28880663601710854,0.04090852080344075,0.05320245839331782,0.5786512445234683,0.8577471964682238,0.7906063039074255,-0.1292954145780335,0.1292954105413781,0.5395622186810145,0.37664864264013226,-0.5395622221694565,0.02432079618445993,-0.02432079784136831,-0.29530394790120856,-0.5949484790698029,0.6184971949475495,1.0553175382871425,1.1985033165892176
1,59396,0.12181171234913506,0.226382522998872,0.7736174763403797,0.25343413701654827,0.6130926241464071,0.7465658617937234,0.708581498862213,0.291418488753283,0.040281473358411334,0.20438838328392486,0.3108846807408228,0.359155511291821,0.3319834868651553,-0.18642901283372676,0.18642900910829355,-0.9601493580140786,-0.3160150081711233,0.9601493533039772,0.014282298560362935,-0.014282298268482464,-0.29902474813587576,-0.03856317928510143,-0.5281014344589339,-1.5985707553997075,-1.3521945313264172
2,38657,0.07927933470739636,0.5141808501609024,0.4858191500167127,0.35196199904391057,0.6898272634627235,0.6480380008558811,0.6729518950611791,0.32704810493713943,0.5895531907951987,0.17198943523232532,0.33262851044704117,0.5605932721809503,0.5882883924497505,1.3010112618462286,-1.3010112565514096,-0.4994964363011522,0.0009236050446321034,0.4994964363555359,-0.12265794660567561,0.12265799774820528,2.9602666361691914,-0.1577958290006182,-0.43499255265158626,-0.5263641153290636,0.07328267301553734
3,163091,0.33447360055782854,0.2134505509401868,0.7865494501293621,0.3567346027605061,0.7424866647363129,0.6432653976835631,0.6907127321046532,0.3092872527622922,0.0446479041643236,0.054079476629133434,0.2690577758727075,0.6804379625037249,0.5812455682906476,-0.2532658713408806,0.25326587634759556,-0.477182810480091,0.21842378177217917,0.47718281306320975,-0.05439523471391928,0.05439522607585086,-0.2731150392357231,-0.5917209295845978,-0.7072077094045464,0.11154146987059485,0.0341129767895067
4,48437,0.0993365531526543,0.3009310329678551,0.6990689660884983,0.8055746495992733,0.35836141367866015,0.1944253505620457,0.7422868543638128,0.25771313364566345,0.06303810010353862,0.7043067054723869,0.7546312090141835,0.756221987546132,0.6277854232873629,0.19886320633479043,-0.19886321030818477,1.6213046092573369,-1.3681364139369754,-1.6213046094967911,0.1438268108028379,-0.14382681207877482,-0.16399052894767316,1.8012060039900621,1.3720579952117882,0.5149223181439827,0.2929511845088717
5,88712,0.18193414751694506,0.2711794358456691,0.728820563534568,0.5249609787769411,0.7325626166658062,0.47503902166779016,0.7155000986660205,0.2844998879360177,0.05683329968313306,0.43168716464356577,0.5443136768803093,0.6127031782920688,0.47516588967076673,0.045096767759638924,-0.04509677054364859,0.3093355410459698,0.17743428783597634,-0.3093355390221895,0.04087352193264226,-0.04087352616857102,-0.20080883200163968,0.79792805294427,0.47146088301744044,-0.24899512999492315,-0.5558646647685532
