value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,47844,0.2888572256568779
Drugs and Medicines,31992,0.19315108191653788
Laboratory Supplies and Equipment,24070,0.1453221599690881
Construction Projects,9002,0.054349401081916535
Medical and Dental Equipment,7633,0.0460840900309119
Hospital / Medical Equipment,5162,0.031165475270479134
General Merchandise,4581,0.027657698995363213
Catering Services,2813,0.01698343315301391
Services,2717,0.016403835007727977
General Repair and Maintenance Services,1902,0.011483288253477589
