eps,min_samples,n_clusters_excluding_noise,n_noise,noise_share,largest_cluster_share,silhouette,davies_bouldin,calinski_harabasz,status,composite,valid_candidate
0.02,15,7,7774,0.97175,0.22123893805309736,0.9065184117635481,0.14105987808472328,39572.37854406138,ok,0.3483960509805768,False
0.02,20,4,7853,0.981625,0.3129251700680272,0.9541287578442226,0.06879863376040715,79724.3936378095,ok,2.8546520828187103,False
0.03,15,18,7278,0.90975,0.11772853185595568,0.6129705951546283,0.44854271217321146,16388.613976924036,ok,-4.935286237918128,False
0.03,20,10,7575,0.946875,0.17647058823529413,0.8168361566713089,0.24758061770020517,24445.085082296133,ok,-1.6777618958811638,False
