value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,82973,0.5087527821890846
Drugs and Pharmaceutical Products,16871,0.10344531580528663
Laboratory and Measuring and Observing and Testing Equipment,14838,0.09097988239694403
Laboratory supplies and fixtures,6701,0.04108749103261369
Drugs or medicine production services,1956,0.011993304351558333
Laboratory and scientific equipment,1805,0.011067440876565844
Healthcare Services,1711,0.010491075534517539
Office Equipment and Accessories and Supplies,1534,0.009405791858532967
Catering services,1503,0.009215713926580866
Building and Facility Construction and Maintenance Services,1443,0.008847821155060671
