value,count,share_within_cluster
Piece,27660,0.3117954729912526
Box,12990,0.14642889349806115
Bottle,9754,0.10995130309315537
Tablet,8907,0.10040355307061051
Vial,5397,0.060837316259356115
Ampule,4059,0.04575480205609162
Pack,3621,0.040817476778789795
Unit,3524,0.03972405086121381
Capsule,2063,0.023255027504734422
Set,1886,0.021259807015961765
