value,count,share_within_cluster
Metro Manila,79191,0.28437892771214135
Bataan,23371,0.08392645527345854
Iloilo,14508,0.05209896936833411
Albay,9934,0.03567350163392825
Cebu,8799,0.03159765863468237
Camarines Sur,8542,0.03067475850181348
Benguet,7372,0.0264732287140446
Batangas,6612,0.023744029877545158
Davao Del Sur,6277,0.022541027758825008
Negros Occidental,6218,0.022329155743886237
