row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
77,0,1.1791260527277816,0.640366436950989,-0.2178826052069354,0.41334924,0.81611687,0.75322485,0.5577273,0.0,0.5723757,0.4276243,0.8830106,0.11698939,0.21763073,0.0,1.0
80,0,1.87622667353675,0.1441794178223748,-0.1505948045071595,0.5198099,0.87609285,0.83414805,0.3270232,0.0,0.5723757,0.4276243,0.84656894,0.15343107,0.28529447,0.0,1.0
81,0,2.449808033888531,0.1976437430365383,-0.0260160658309593,0.6062495,0.9247897,0.90979356,0.30979443,0.0,0.0,1.0,0.861752,0.13824804,0.2571031,0.0,1.0
82,0,1.798489752603137,-0.7912412685389331,-0.2893735527520513,0.49772167,0.8636492,0.81953496,0.0,0.0,0.5723757,0.4276243,0.54097474,0.45902526,0.8527121,0.0,1.0
84,0,2.3846844740916278,-0.6573375981180799,-0.16195064542408,0.5945394,0.9181927,0.888935,0.0,0.0,0.5723757,0.4276243,0.5694596,0.43054038,0.7998223,0.0,1.0
86,0,1.9282196848958773,-0.7701250549661709,-0.2593313040641279,0.5168717,0.8744376,0.8372334,0.0,0.0,0.5723757,0.4276243,0.54707867,0.45292133,0.84137845,0.0,1.0
87,0,2.7899044384018588,-0.6007818825342759,-0.0660780480344464,0.65184283,0.95047534,0.9467997,0.0,0.0,0.5723757,0.4276243,0.5792768,0.4207232,0.781594,0.0,1.0
90,0,1.3208479238179982,-0.8892004403350425,-0.3956112859493236,0.4218124,0.8208847,0.7599246,0.0,0.0,0.5723757,0.4276243,0.50137967,0.49862033,0.9262309,0.0,1.0
96,0,1.2228929286251045,0.6757982419048294,-0.2044601189247236,0.42044336,0.8201134,0.75898284,0.5673328,0.0,0.0,1.0,0.8938216,0.10617837,0.19755717,0.0,1.0
99,0,1.4330662508250702,-0.8622602001874864,-0.3715006129964102,0.44069588,0.83152294,0.7728514,0.0,0.0,0.5723757,0.4276243,0.51610297,0.48389703,0.8988932,0.0,1.0
102,0,2.396554933361863,-0.6781000012806518,-0.154292767822889,0.59022605,0.9157627,0.896788,0.0,0.0,0.5723757,0.4276243,0.56754065,0.43245935,0.8033854,0.0,1.0
104,0,0.913438621560118,-0.0562297278504498,-0.3641009781568261,0.3660098,0.78944755,0.7148015,0.3270232,0.0,0.5723757,0.4276243,0.75960404,0.24039596,0.44676813,0.0,1.0
107,0,1.4548785520158147,-0.7487888080916109,-0.3501164977438666,0.44374648,0.8332415,0.77786833,0.040941544,0.0,0.5723757,0.4276243,0.66617054,0.33382946,0.6202525,0.0,1.0
