row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
2,1,-1.6325352982126948,0.373541033800917,-0.8367419363890403,0.0,0.5789671,0.37549466,0.62761647,0.0,0.5723757,0.4276243,0.54588646,0.4541135,0.8435921,0.0,1.0
31,1,-2.5992969372668617,-0.3282193956449654,-1.129784522228273,0.0,0.4462162,0.21739048,0.27675432,0.0,0.5723757,0.4276243,0.3184665,0.68153346,0.744016,0.0,1.0
34,1,-2.04700404870306,-0.9283082476887552,-1.0903337287597417,0.0,0.50991404,0.30348638,0.11093158,0.0,0.5723757,0.4276243,0.27260566,0.72739434,0.658863,0.0,1.0
35,1,-1.6053525695397792,-0.8865542528023695,-0.9796999926945,0.0,0.55911696,0.38295627,0.1721357,0.0,0.5723757,0.4276243,0.3450211,0.65497893,0.79332167,0.0,1.0
40,1,-3.463004622618098,-0.0861264080653028,-1.2995624851247805,0.0,0.3505441,0.06686951,0.27675432,0.0,0.5723757,0.4276243,0.2900018,0.7099982,0.6911636,0.0,1.0
53,1,-1.27462717418822,-0.4863240573198074,-0.8548086671727166,0.023256974,0.5963533,0.43660396,0.3270232,0.0,0.0,1.0,0.44977573,0.55022424,0.98782676,0.0,1.0
68,1,-0.9028703064551308,-0.0264549475619875,-0.7194329586105753,0.08492516,0.6310949,0.48665735,0.46550733,0.0,0.5723757,0.4276243,0.5423049,0.45769516,0.8502424,0.0,1.0
76,1,-1.9515047363384528,-0.3503616715540796,-1.0160633005243886,0.0,0.5419939,0.30788448,0.3270232,0.0,0.5723757,0.4276243,0.40131447,0.5986855,0.89784545,0.0,1.0
88,1,-1.9224135118110248,-1.0739629289489094,-1.0817867573296167,0.0,0.5235339,0.32351786,0.06999003,0.0,0.5723757,0.4276243,0.2570416,0.74295837,0.6299642,0.0,1.0
105,1,-3.376688777095654,-0.2090935086793373,-1.3086425108387256,0.0,0.36762756,0.072386645,0.23742841,0.0,0.5723757,0.4276243,0.27427778,0.72572225,0.6619677,0.0,1.0
118,1,-1.9326059138401648,-0.3250370414906037,-1.385609804172618,0.23387797,0.7150094,0.015654888,0.0,0.0,0.5723757,0.4276243,0.3358047,0.6641953,0.776209,0.0,1.0
131,1,-2.133393576940385,-0.1221085834894863,-1.011744475796819,0.0,0.51268274,0.28875157,0.39601842,0.0,0.5723757,0.4276243,0.40743163,0.59256834,0.9092036,0.0,1.0
179,1,-3.408338509764917,-0.3717462914368325,-1.388015669041111,0.0,0.3953261,0.031380802,0.16251183,0.0,0.5723757,0.4276243,0.23859562,0.7614044,0.5957142,0.0,1.0
192,1,-1.1539271619140388,-0.4528142653988125,-0.8298562632153885,0.044779338,0.6084782,0.4492626,0.3270232,0.0,0.5723757,0.4276243,0.46160072,0.5383993,1.0,0.0,1.0
270,1,-2.305963859478201,-0.8606704275670568,-1.1342410815361874,0.0,0.47621256,0.26351312,0.11093158,0.0,0.5723757,0.4276243,0.24901238,0.7509876,0.61505574,0.0,1.0
277,1,-2.34768010363259,-0.0742102789108525,-1.0366636888251022,0.0,0.4766106,0.26408657,0.39601842,0.0,0.5723757,0.4276243,0.38363555,0.6163644,0.8650198,0.0,1.0
320,1,-2.7552258740839584,0.070882342630626,-1.1604131989656223,0.0,0.46275964,0.16089834,0.39601842,0.0,0.5723757,0.4276243,0.37527004,0.62473,0.84948695,0.0,1.0
340,1,-3.058783173114911,-0.6503392585664186,-1.2812597548496896,0.0,0.39213356,0.13302612,0.11093158,0.0,0.5723757,0.4276243,0.21501997,0.78498006,0.5519397,0.0,1.0
360,1,-1.7180077873720807,0.4748747662535965,-0.819908961922465,0.0,0.5550104,0.37703982,0.6615627,0.0,0.5723757,0.4276243,0.5344816,0.46551844,0.8647684,0.0,1.0
361,1,-1.904730049722824,-0.3833328883521508,-0.9787839694017436,0.0,0.52703595,0.33673605,0.3270232,0.0,0.5723757,0.4276243,0.38944855,0.6105515,0.8758132,0.0,1.0
382,1,-2.6922466139001986,-0.93423752048931,-1.247974913641273,0.0,0.44067806,0.18554667,0.040941544,0.0,0.0,1.0,0.18697342,0.8130266,0.49986377,0.0,1.0
392,1,-1.9904861699638563,-0.1272854271262551,-1.0329765572392433,0.0,0.5638812,0.27730274,0.39601842,0.0,0.5723757,0.4276243,0.44902503,0.55097497,0.98643285,0.0,1.0
402,1,-1.3778099340809626,-0.5066060892204054,-0.8779490120849808,0.00709374,0.58724755,0.42348498,0.3270232,0.0,0.5723757,0.4276243,0.4408812,0.5591188,0.9713116,0.0,1.0
405,1,-1.6456854184850334,-1.341573352163652,-1.0535910436917897,0.0,0.5531207,0.36964783,0.0,0.0,0.5723757,0.4276243,0.113080494,0.8869195,0.36266175,0.0,1.0
410,1,-1.3359869128693382,0.1344967829244948,-0.7834804093042418,0.019263614,0.5941036,0.43336275,0.55361366,0.0,0.5723757,0.4276243,0.5332862,0.4667138,0.8669879,0.0,1.0
411,1,-1.8085529607126811,-1.298743175229348,-1.08161681857512,0.0,0.53221965,0.34420443,0.0,0.0,0.0,1.0,0.095274374,0.9047256,0.3295999,0.0,1.0
423,1,-1.7009101297971685,-1.1380147392326725,-1.0354666673420736,0.0,0.54607654,0.36416852,0.06999003,0.0,0.5723757,0.4276243,0.27441508,0.7255849,0.6622226,0.0,1.0
441,1,-1.6760488047302111,-1.033537307402234,-1.0156448474560629,0.0,0.5497347,0.36943895,0.11093158,0.0,0.5723757,0.4276243,0.3048076,0.6951924,0.7186545,0.0,1.0
481,1,-1.2253486510109508,-0.6666480553436482,-0.8693035539807903,0.029289423,0.5997518,0.44150025,0.2589939,0.0,0.5723757,0.4276243,0.42473015,0.5752699,0.9413229,0.0,1.0
482,1,-1.9725643950808036,-0.6082817037199111,-1.0246895111044352,0.0,0.5174632,0.32294428,0.23742841,0.0,0.5723757,0.4276243,0.34213036,0.65786964,0.7879542,0.0,1.0
487,1,-3.620700551248282,-0.3157630071624534,-1.384196561980334,0.0,0.34186068,0.025586894,0.1721357,0.0,0.5723757,0.4276243,0.23832102,0.761679,0.59520435,0.0,1.0
500,1,-3.556127721331636,-0.5123283362184381,-1.3770533136295475,0.0,0.33563134,0.047803514,0.11093158,0.0,0.5723757,0.4276243,0.20388524,0.79611474,0.5312651,0.0,1.0
503,1,-1.4460420649324688,-1.1467050197820927,-0.9791490548454987,0.0,0.5762404,0.4076266,0.092521794,0.0,0.5723757,0.4276243,0.31349683,0.6865032,0.7347884,0.0,1.0
514,1,-1.7913537982894805,-1.192163042081487,-1.0632375806587462,0.0,0.5349835,0.3481864,0.040941544,0.0,0.0,1.0,0.24603346,0.7539665,0.6095246,0.0,1.0
520,1,-1.5748469352861825,-1.0613100166197098,-0.996591238251788,0.0,0.56154674,0.38645694,0.11093158,0.0,0.5723757,0.4276243,0.3140221,0.68597794,0.73576367,0.0,1.0
544,1,-2.2153326645552136,0.0799216633174819,-0.9882330963715592,0.0,0.49490884,0.28658083,0.46550733,0.0,0.5723757,0.4276243,0.42323062,0.5767694,0.9385386,0.0,1.0
557,1,-2.0245982815517047,-1.2394472274228956,-1.1223021203466306,0.0,0.50701034,0.30786732,0.0,0.0,0.5723757,0.4276243,0.07624142,0.92375857,0.2942601,0.0,1.0
564,1,-1.9001782195860453,-0.2255730079454742,-0.956395301966046,0.0,0.52871263,0.33899075,0.38549075,0.0,0.5723757,0.4276243,0.41021344,0.5897866,0.91436875,0.0,1.0
636,1,-2.524524468121753,0.0413932238362656,-1.1648062238188284,0.0,0.52398306,0.16444118,0.39601842,0.0,0.5723757,0.4276243,0.41604722,0.5839528,0.9252007,0.0,1.0
676,1,-1.792580141926165,-1.3031265761716422,-1.0786095645268792,0.0,0.53408396,0.3468904,0.0,0.0,0.5723757,0.4276243,0.09626882,0.90373117,0.33144635,0.0,1.0
686,1,-1.6124120536106483,-1.2412698055169773,-1.0295476400536077,0.0,0.55586916,0.37827703,0.040941544,0.0,0.0,1.0,0.26366764,0.73633236,0.64226717,0.0,1.0
691,1,-1.8787135861444624,0.4385680056594719,-0.879510998880655,0.0,0.5476668,0.33673605,0.62761647,0.0,0.5723757,0.4276243,0.51747465,0.48252535,0.8963463,0.0,1.0
692,1,-1.7812053240668688,-0.8382951770980176,-1.0128083874875806,0.0,0.53859186,0.35338506,0.1721357,0.0,0.5723757,0.4276243,0.3273932,0.67260677,0.7605908,0.0,1.0
698,1,-0.923093677971904,-0.0375344467414927,-0.7249235095924887,0.081694186,0.62927467,0.4840349,0.46296376,0.0,0.5723757,0.4276243,0.53394055,0.46605942,0.86577284,0.0,1.0
711,1,-1.2066517555483285,-0.2639791272966251,-0.8114669261077939,0.03576033,0.60339725,0.4467524,0.40184546,0.0,0.5723757,0.4276243,0.49464026,0.5053597,0.9387444,0.0,1.0
713,1,-1.5643947719639748,-1.365747227233963,-1.0356483392087985,0.0,0.5607172,0.3852618,0.0,0.0,0.0,1.0,0.11944644,0.88055354,0.37448183,0.0,1.0
754,1,-1.6234056149820082,-1.349552947139299,-1.0467585110316735,0.0,0.5538296,0.3753386,0.0,0.0,0.5723757,0.4276243,0.113292105,0.8867079,0.36305466,0.0,1.0
759,1,-1.3438610428928752,-0.7466528369626916,-0.9047423402928008,0.011132091,0.5895226,0.4250302,0.23742841,0.0,0.5723757,0.4276243,0.40465426,0.59534574,0.90404665,0.0,1.0
809,1,-3.0216590197295505,-0.0768153083645375,-1.1890719848122566,0.0,0.39667076,0.14891447,0.3270232,0.0,0.0,1.0,0.32062042,0.6793796,0.7480153,0.0,1.0
824,1,-2.0621213209031315,-0.5837046926832484,-1.0415507024426378,0.0,0.50701034,0.30788448,0.23742841,0.0,0.5723757,0.4276243,0.33559248,0.66440755,0.7758149,0.0,1.0
874,1,-1.697238671376899,-1.3292910114873722,-1.060659328283012,0.0,0.545212,0.3629229,0.0,0.0,0.0,1.0,0.10515078,0.89484924,0.3479381,0.0,1.0
