value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,504,0.37980406932931426
Drugs and Medicines,392,0.29540316503391106
Laboratory Supplies and Equipment,148,0.11152976639035418
Hospital / Medical Equipment,64,0.04822908816880181
General Merchandise,51,0.03843255463451394
Medical and Dental Equipment,41,0.03089675960813866
Veterinary Products and Supplies,19,0.014318010550113038
Chemicals and Chemical Products,17,0.01281085154483798
Diagnostic and Laboratory Services,9,0.006782215523737754
Hospital / Medical Equipment Services,9,0.006782215523737754
