value,count,share_within_cluster
Medical Supplies,2,0.058823529411764705
Thermal Scanner,1,0.029411764705882353
Registry Seals,1,0.029411764705882353
Drugs and Medicines,1,0.029411764705882353
"Oxycodone Hydrochloride 10mg/2ml, 2ml",1,0.029411764705882353
"Docetaxel 20mg/0.5ml, 0.5ml",1,0.029411764705882353
Dipstick Test (actim-prom test),1,0.029411764705882353
Dipstick Test (Actim-Prom Test),1,0.029411764705882353
Supply and Delivery of ,1,0.029411764705882353
DIAGNOSTIC GUIDEWIRE ,1,0.029411764705882353
