value,count,share_within_cluster
Negotiated Procurement - Emergency Cases (Sec. 53.2),20,0.5882352941176471
Direct Contracting (Sec. 50),6,0.17647058823529413
Negotiated Procurement - Agency to Agency (Sec. 53.5),3,0.08823529411764706
Public Bidding,2,0.058823529411764705
Renewal of Regular and Recurring Sevices per Appendix 37,1,0.029411764705882353
"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",1,0.029411764705882353
Shopping - Unforeseen Contingency (Sec. 52.1.a),1,0.029411764705882353
