value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,36872,0.41284485847366537
Drugs and Pharmaceutical Products,16880,0.18900035829451808
Laboratory and Measuring and Observing and Testing Equipment,7605,0.08515093156574705
Building and Facility Construction and Maintenance Services,4323,0.04840335005374418
Laboratory supplies and fixtures,3231,0.03617654962379076
Drugs or medicine production services,1662,0.018608921533500536
Laboratory and scientific equipment,1298,0.01453332139018273
Structures and Building and Construction and Manufacturing Components and Supplies,661,0.007401021139376567
Healthcare Services,604,0.006762809029021856
Office Equipment and Accessories and Supplies,363,0.004064403439627374
