value,count,share_within_cluster
Drugs and Medicines,4289,0.04802266212826944
Medical Supplies,2289,0.025629254747402366
Medical Supplies and Laboratory Instrument,1807,0.0202324435686134
Medical Equipment,1041,0.011655768541741312
Laboratory Supplies,891,0.009976262988176282
Laboratory Supplies and Equipment,744,0.008330347545682551
Goods,739,0.008274364027230384
DRUGS AND MEDICINES,736,0.008240773916159082
Construction Projects,699,0.007826495879613041
MEDICAL SUPPLIES,511,0.005721515585811537
