k,silhouette,davies_bouldin,calinski_harabasz,inertia,composite
2,0.2656553052755311,1.4695473760628106,27817.835370274697,239431.47367441014,-3.297171665990184
3,0.3428833937103736,1.1381588595730678,32222.209002435415,178718.03915008632,-1.0453363486670657
4,0.35033039571243824,0.9013661922907104,42299.71174256829,124768.0528284174,0.4221220777528367
5,0.3745766443638638,0.8276214635176755,47399.7331672245,95749.66330864464,1.3448786894188898
6,0.3863723589528955,0.7975840934364324,45304.62041817064,84214.74303616353,1.4231690736566511
7,0.37696566139027105,0.8670146740474124,45720.735858112406,72852.66099871793,1.1523381738288716
