value,count,share_within_cluster
Public Bidding,62065,0.6996235007665254
Negotiated Procurement - Small Value Procurement (Sec. 53.9),18694,0.21072684642438452
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),2941,0.033152222923618
Negotiated Procurement - Emergency Cases (Sec. 53.2),2557,0.02882360898187393
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),1561,0.017596266570475246
Direct Contracting (Sec. 50),256,0.0028857426278293807
Shopping,198,0.0022319415637117863
Negotiated Procurement - Agency to Agency (Sec. 53.5),177,0.0019952204887726576
Shopping - Unforeseen Contingency (Sec. 52.1.a),143,0.001611957796014068
Renewal of Regular and Recurring Sevices per Appendix 37,34,0.0003832626927585896
