row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
264658,4,0.4617657675065232,2.7266354019928145,0.0657290635892849,0.65095186,0.7025901,0.5864863,1.0,0.034287434,0.21086259,0.7891374,0.7854199,0.21458015,0.39883414,1.0,0.0
264659,4,1.0406391675200068,2.217242747415223,0.1287686532604761,0.65095186,0.7666425,0.68157715,0.8714697,0.034287434,0.21086259,0.7891374,0.8889313,0.11106871,0.2066374,1.0,0.0
264661,4,0.6464826923765632,2.6319249251320462,0.0960968869900021,0.65095186,0.7228248,0.6181886,0.9841824,0.034287434,0.21086259,0.7891374,0.82102394,0.17897609,0.33272564,1.0,0.0
264662,4,1.1080380821769191,2.387433463339479,0.1618931413682132,0.65095186,0.7791921,0.6912064,0.93963593,0.034287434,0.21086259,0.7891374,0.91369224,0.086307794,0.1606621,1.0,0.0
264663,4,0.9615837404360864,2.5884406149653647,0.1612884400871867,0.65095186,0.75988287,0.671609,1.0,0.034287434,0.21086259,0.7891374,0.88900685,0.11099314,0.20649707,1.0,0.0
264664,4,0.664808707399096,2.6268868939963435,0.0995596932992102,0.65095186,0.7249548,0.6212795,0.9841824,0.034287434,0.21086259,0.7891374,0.8248833,0.17511672,0.3255597,1.0,0.0
264665,4,0.4545167783732666,2.7282835054549275,0.0648468056864782,0.65095186,0.701398,0.58562297,1.0,0.034287434,0.21086259,0.7891374,0.7840324,0.21596758,0.40141028,1.0,0.0
264666,4,0.3002266609308914,2.6138083475085745,0.0146234100312591,0.65095186,0.68222094,0.5582498,0.9423528,0.034287434,0.21086259,0.7891374,0.7390942,0.2609058,0.4848501,1.0,0.0
264667,4,0.7798020125662201,2.6384289340877287,0.1269193095043619,0.65095186,0.73876935,0.6409343,1.0,0.034287434,0.21086259,0.7891374,0.85487336,0.14512663,0.26987505,1.0,0.0
264668,4,1.042406911824194,2.401996436476032,0.1544125449372707,0.65095186,0.7680353,0.6837638,0.93963593,0.034287434,0.21086259,0.7891374,0.89903,0.10096999,0.1878864,1.0,0.0
264671,4,0.7078518605974307,1.8970814190227472,0.010022023811697,0.65095186,0.7250776,0.62150997,0.7200777,0.034287434,0.21086259,0.7891374,0.7888333,0.21116666,0.3924961,1.0,0.0
264673,4,0.5486866031806784,2.702583510255041,0.0823743667979189,0.65095186,0.7125342,0.6013095,1.0,0.034287434,0.21086259,0.7891374,0.8048433,0.19515671,0.36276934,1.0,0.0
264674,4,0.9068326299256064,2.604820974792199,0.1490640430611537,0.65095186,0.75486654,0.66098976,1.0,0.034287434,0.21086259,0.7891374,0.8862345,0.113765486,0.21164468,1.0,0.0
264676,4,1.6452147858951656,2.4014026685489807,0.2891917083961197,0.65095186,0.84025276,0.7859734,1.0,0.034287434,0.21086259,0.7891374,0.99804914,0.0019508704,0.0040308484,1.0,0.0
264677,4,1.1648389852423586,2.533081629056586,0.198961893191646,0.65095186,0.78403234,0.7053503,1.0,0.034287434,0.21086259,0.7891374,0.9283437,0.0716563,0.13345768,1.0,0.0
264680,4,0.3666287575378004,2.752262356723068,0.0484980317661189,0.65095186,0.6909978,0.5709899,1.0,0.034287434,0.21086259,0.7891374,0.7656721,0.23432791,0.43550116,1.0,0.0
