row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
3960,2,-1.5245867794349248,-1.9096662725399232,4.985116824046772,0.1201347,0.5968936,0.58826303,0.0,1.0,0.4641589,0.5358411,0.15225548,0.8477445,0.4354006,0.0,1.0
3961,2,-1.7533697822932932,-1.883793263770185,4.994240123181691,0.1201347,0.5327611,0.58826303,0.0,1.0,0.4641589,0.5358411,0.09565477,0.9043452,0.3303062,0.0,1.0
3966,2,-1.7661449321096296,-0.8658540958730755,5.141682014762558,0.21342671,0.50073993,0.58826303,0.27675432,1.0,0.46195742,0.5380426,0.34928605,0.6507139,0.8012407,0.0,1.0
3984,2,-0.6090991532310077,0.8059847414431233,5.43129093494636,0.6796719,0.62995154,0.58826303,0.46550733,1.0,0.465649,0.534351,0.5395224,0.46047756,0.85540867,0.0,1.0
3986,2,-0.3520654427981789,-1.2853640234027517,5.099055892917999,0.39482203,0.8056793,0.58826303,0.0,1.0,0.46557406,0.534426,0.4819065,0.5180935,0.9623881,0.0,1.0
3987,2,-3.4737723569975003,0.0373311497149985,5.313555473952135,0.2831498,0.0,0.58826303,0.46550733,1.0,0.46232516,0.53767484,0.34514895,0.6548511,0.7935591,0.0,1.0
3988,2,-3.4376696934466477,-0.592611747205913,5.2360039806659735,0.2831498,0.0,0.58826303,0.23742841,1.0,0.46232516,0.53767484,0.24944316,0.7505568,0.61585563,0.0,1.0
3989,2,-3.4376696934466477,-0.592611747205913,5.2360039806659735,0.2831498,0.0,0.58826303,0.23742841,1.0,0.46232516,0.53767484,0.24944316,0.7505568,0.61585563,0.0,1.0
3990,2,-3.4376696934466477,-0.592611747205913,5.2360039806659735,0.2831498,0.0,0.58826303,0.23742841,1.0,0.46232516,0.53767484,0.24944316,0.7505568,0.61585563,0.0,1.0
3991,2,-3.4376696934466477,-0.592611747205913,5.2360039806659735,0.2831498,0.0,0.58826303,0.23742841,1.0,0.46232516,0.53767484,0.24944316,0.7505568,0.61585563,0.0,1.0
3992,2,-3.4241271289306496,-0.8289112742734726,5.206913437258824,0.2831498,0.0,0.58826303,0.15187313,1.0,0.46232516,0.53767484,0.20404205,0.7959579,0.53155625,0.0,1.0
3993,2,-3.4376696934466477,-0.592611747205913,5.2360039806659735,0.2831498,0.0,0.58826303,0.23742841,1.0,0.46232516,0.53767484,0.24944316,0.7505568,0.61585563,0.0,1.0
3994,2,-3.406567743229768,-1.1352989257270625,5.169194431280971,0.2831498,0.0,0.58826303,0.040941544,1.0,0.46232516,0.53767484,0.13869731,0.8613027,0.41022623,0.0,1.0
3995,2,-3.4404564229318573,-0.5439870676895285,5.241990105004367,0.2831498,0.0,0.58826303,0.2550336,1.0,0.46232516,0.53767484,0.2579586,0.7420414,0.6316668,0.0,1.0
4001,2,-0.6596190111161173,0.0189296926601772,5.306201341473464,0.55685204,0.66205156,0.58826303,0.29993546,1.0,0.46558863,0.5344114,0.51801187,0.48198813,0.8953488,0.0,1.0
4002,2,-0.8004004991518311,1.1449379558225443,5.446814792886052,0.55685204,0.64053804,0.58826303,0.7044788,1.0,0.46558863,0.5344114,0.6281594,0.3718406,0.6908303,0.0,1.0
4003,2,-0.9933219423482896,0.6614962951451461,5.393062682594529,0.55685204,0.5782881,0.58826303,0.52034986,1.0,0.46558863,0.5344114,0.51104194,0.48895806,0.9082903,0.0,1.0
4006,2,-0.7376296102221344,0.6519101416451014,5.385217060205546,0.55685204,0.6502764,0.58826303,0.5273942,1.0,0.46558863,0.5344114,0.5891778,0.4108222,0.7632102,0.0,1.0
4009,2,-0.9454297759729288,0.0290738268717833,5.314901649886605,0.55685204,0.5815744,0.58826303,0.2918532,1.0,0.46558863,0.5344114,0.42110065,0.5788993,0.9345838,0.0,1.0
4010,2,-0.7145709072022812,0.5913675769484102,5.377251988173349,0.55685204,0.6558034,0.58826303,0.5062813,1.0,0.46558863,0.5344114,0.59358,0.40641996,0.75503623,0.0,1.0
