value,count,share_within_cluster
Drugs and Medicines,25626,0.5290583644734397
Medical Supplies and Laboratory Instrument,17327,0.35772240229576563
Laboratory Supplies and Equipment,3825,0.07896855709478291
Hospital / Medical Equipment,329,0.006792328178871524
Medical and Dental Equipment,168,0.003468422899849289
General Merchandise,129,0.002663253298098561
Veterinary Products and Supplies,111,0.0022916365588289945
Food Stuff,109,0.002250345810021265
Printing Services,75,0.001548403080289861
Chemicals and Chemical Products,61,0.0012593678386357537
