value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,38582,0.9980598597925343
PHILIPPINE HEALTH INSURANCE CORPORATION - REGION II,18,0.0004656336497917583
IMPASUGONG NATIONAL HIGH SCHOOL,18,0.0004656336497917583
"MUNICIPALITY OF JOSEFINA, ZAMBOANGA DEL SUR",5,0.00012934268049771063
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",4,0.0001034741443981685
"MUNICIPALITY OF STA. BARBARA, ILOILO",4,0.0001034741443981685
"MUNICIPALITY OF CAJIDIOCAN, ROMBLON",4,0.0001034741443981685
"106TH CONTRACTING OFFICE, AFP PROCUREMENT SERVICE",3,7.760560829862638e-05
"BARANGAY 649, ZONE 68, DISTRICT V, PORT AREA, MANILA",2,5.173707219908425e-05
"BARANGAY MABINI, BURDEOS, QUEZON",2,5.173707219908425e-05
