value,count,share_within_cluster
Negotiated Procurement - Small Value Procurement (Sec. 53.9),16324,0.4222779832889257
Public Bidding,14091,0.3645135421786481
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),5128,0.13265385311845201
Shopping,1599,0.041363789223167864
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),1441,0.037276560519440206
Negotiated Procurement - NGO Participation (Sec. 53.11),57,0.0014745065576739012
Selection based on Consultants Qualification,6,0.00015521121659725276
International Competitive Bidding,5,0.00012934268049771063
National Competitive Bidding,3,7.760560829862638e-05
Negotiated Procurement - Community Participation (Sec. 53.12),3,7.760560829862638e-05
