value,count,share_within_cluster
Lot,113318,0.5424535301748692
Piece,18579,0.08893771631266785
Lump Sum,17349,0.08304970344520558
Unit,15114,0.07235075323481682
Box,12834,0.06143638791952092
Bottle,6624,0.031709103442333374
Set,5225,0.025012087180886457
Pack,4033,0.019305980402012455
Vial,3768,0.01803742478422587
Package,3727,0.017841157688643795
