value,count,share_within_cluster
Drugs and Medicines,9328,0.04465315774608782
Medical Supplies,7723,0.03697001900439926
Medical Supplies and Laboratory Instrument,4726,0.02262337301758266
Laboratory Supplies,3004,0.014380155003135487
Laboratory Supplies and Equipment,2277,0.010900004308302099
MEDICAL SUPPLIES,2083,0.009971325856035692
Medical Equipment,1914,0.009162322462051039
Goods,1813,0.008678835226592756
Medicines,1692,0.008099607944509068
DRUGS AND MEDICINES,1324,0.006337991086601659
