value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,30,0.45454545454545453
Laboratory and Measuring and Observing and Testing Equipment,15,0.22727272727272727
Drugs and Pharmaceutical Products,8,0.12121212121212122
Food and beverage industries,2,0.030303030303030304
Packaging boxes,2,0.030303030303030304
Laboratory supplies and fixtures,2,0.030303030303030304
Drugs or medicine production services,2,0.030303030303030304
Live Plant and Animal Material and Accessories and Supplies,1,0.015151515151515152
Cardiopulmonary resuscitation CPR protective shields or masks,1,0.015151515151515152
Cleaning Equipment and Supplies,1,0.015151515151515152
