value,count,share_within_cluster
Metro Manila,192459,0.6911301037813768
Cebu,10946,0.039307645347793296
Davao Del Sur,9241,0.03318490322117284
Pampanga,7301,0.026218264085897943
Iloilo,6612,0.023744029877545158
Misamis Oriental,6331,0.022734944518260494
Rizal,4090,0.014687399001687794
Leyte,3534,0.012690774589722412
Benguet,2523,0.009060221926958021
Laguna,2447,0.008787302043308076
