cluster_id,cluster_label,rationale_short
24,"Strong understocking / lean-stock segment · mean PC=(-0.59,-1.07,-0.68)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; understocking=0.74; overstocking=-0.74; unequal_supply_regions=-0.15
25,"Mixed procurement profile segment · mean PC=(0.74,-1.00,-0.37)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.62; high_risk_shortage=-0.62; normal_inventory=0.52; overstocking=-0.23; understocking=0.23
26,"High shortage-risk segment · mean PC=(-0.91,-1.66,5.03)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; high_risk_shortage=1.09; low_risk_shortage=-1.09; understocking=0.56
27,"Strong understocking / lean-stock segment · mean PC=(-1.65,-0.58,-0.09)",Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.29; low_risk_shortage=0.29
28,"Strong understocking / lean-stock segment · mean PC=(-1.09,-1.37,-0.81)",Strongest theme deviations vs cohort (z): overstocking=-1.37; understocking=1.37; normal_inventory=-0.95; high_risk_shortage=-0.76; low_risk_shortage=0.76
29,"High shortage-risk segment · mean PC=(-0.51,-1.39,5.08)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.22; low_risk_shortage=-1.04; high_risk_shortage=1.04
30,"Overstocking-heavy procurement segment · mean PC=(-0.35,0.72,-0.39)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.77; high_risk_shortage=-0.77; understocking=-0.50; overstocking=0.50; unequal_supply_regions=-0.25
31,"High shortage-risk segment · mean PC=(-1.31,-1.92,4.98)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; overstocking=-1.13; understocking=1.13; low_risk_shortage=-1.04
32,"Mixed procurement profile segment · mean PC=(0.22,-0.85,-0.49)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.98; low_risk_shortage=0.98; normal_inventory=0.59; understocking=-0.15; overstocking=0.15
33,"High shortage-risk segment · mean PC=(-0.43,-1.34,5.09)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.24; low_risk_shortage=-1.11; high_risk_shortage=1.11
34,"High shortage-risk segment · mean PC=(-0.25,-1.22,5.11)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; low_risk_shortage=-1.04; high_risk_shortage=1.04; normal_inventory=0.95
35,"Strong understocking / lean-stock segment · mean PC=(-1.78,-0.62,-0.19)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.78; low_risk_shortage=0.78
36,"Severe surplus / extreme overstocking segment · mean PC=(0.76,0.55,-0.19)",Strongest theme deviations vs cohort (z): overstocking=1.77; understocking=-1.77; normal_inventory=-1.60; high_risk_shortage=-0.88; low_risk_shortage=0.88
37,"Strong understocking / lean-stock segment · mean PC=(-2.81,-0.97,-0.57)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.99; low_risk_shortage=0.99
38,"Overstocking-heavy procurement segment · mean PC=(0.16,-0.00,-0.39)",Strongest theme deviations vs cohort (z): understocking=-0.88; overstocking=0.88; low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=-0.24
39,"Strong understocking / lean-stock segment · mean PC=(-2.67,-0.92,-0.52)",Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.90; low_risk_shortage=0.90
40,"Mixed procurement profile segment · mean PC=(-0.32,0.15,-0.46)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; unequal_supply_regions=-0.18; equal_supply_regions=0.18; normal_inventory=0.16
41,"Strong understocking / lean-stock segment · mean PC=(-1.70,-1.35,-0.93)",Strongest theme deviations vs cohort (z): overstocking=-1.64; understocking=1.64; normal_inventory=-1.38; high_risk_shortage=-0.92; low_risk_shortage=0.92
42,"High shortage-risk segment · mean PC=(-0.35,-1.28,5.10)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.12; high_risk_shortage=1.04; low_risk_shortage=-1.04
43,"Overstocking-heavy procurement segment · mean PC=(0.15,0.14,-0.36)",Strongest theme deviations vs cohort (z): overstocking=0.86; understocking=-0.86; low_risk_shortage=0.80; high_risk_shortage=-0.80; normal_inventory=-0.41
44,"Overstocking-heavy procurement segment · mean PC=(3.65,0.18,0.40)",Strongest theme deviations vs cohort (z): understocking=-0.63; overstocking=0.63; normal_inventory=0.28; equal_supply_regions=-0.19; unequal_supply_regions=0.19
45,"Strong understocking / lean-stock segment · mean PC=(-1.98,-0.69,-0.25)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.64; low_risk_shortage=0.64
46,"Mixed procurement profile segment · mean PC=(0.10,-0.65,-0.48)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.82; low_risk_shortage=0.82; overstocking=-0.23; understocking=0.23; normal_inventory=0.20
47,"High shortage-risk segment · mean PC=(-1.37,-1.96,4.97)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; understocking=1.20; overstocking=-1.20; low_risk_shortage=-1.04
48,"Strong understocking / lean-stock segment · mean PC=(-2.20,-0.28,-0.28)",Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; equal_supply_regions=0.89; unequal_supply_regions=-0.89; low_risk_shortage=0.79
49,"Strong understocking / lean-stock segment · mean PC=(-0.39,-0.44,-0.56)",Strongest theme deviations vs cohort (z): understocking=0.70; overstocking=-0.70; unequal_supply_regions=-0.51; equal_supply_regions=0.51; high_risk_shortage=-0.34
