cluster_id,cluster_label,rationale_short
116,"Strong understocking / lean-stock segment · mean PC=(-2.04,-1.25,-1.01)",Strongest theme deviations vs cohort (z): overstocking=-1.79; understocking=1.79; normal_inventory=-1.63; low_risk_shortage=1.05; high_risk_shortage=-1.05
117,"High shortage-risk segment · mean PC=(0.52,0.50,-0.02)",Strongest theme deviations vs cohort (z): understocking=1.45; overstocking=-1.45; normal_inventory=-1.07; low_risk_shortage=-0.36; high_risk_shortage=0.36
118,"High shortage-risk segment · mean PC=(0.66,-0.69,-0.21)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.49; low_risk_shortage=-1.49; normal_inventory=0.93; understocking=-0.21; overstocking=0.21
119,"High shortage-risk segment · mean PC=(-0.19,-1.25,-0.42)",Strongest theme deviations vs cohort (z): understocking=0.85; overstocking=-0.85; low_risk_shortage=-0.53; high_risk_shortage=0.53; equal_supply_regions=-0.11
120,"Overstocking-heavy procurement segment · mean PC=(0.17,-0.21,-0.41)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.90; low_risk_shortage=0.90; understocking=-0.77; overstocking=0.77; equal_supply_regions=-0.35
121,"High shortage-risk segment · mean PC=(0.01,-1.12,-0.29)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.61; high_risk_shortage=1.61; understocking=0.55; overstocking=-0.55; normal_inventory=0.41
122,"High shortage-risk segment · mean PC=(0.48,-0.81,-0.25)",Strongest theme deviations vs cohort (z): normal_inventory=1.11; low_risk_shortage=-1.08; high_risk_shortage=1.08; equal_supply_regions=-0.12; unequal_supply_regions=0.12
123,"Mixed procurement profile segment · mean PC=(-0.40,-0.75,-0.60)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.98; low_risk_shortage=0.98; normal_inventory=0.62; overstocking=-0.25; understocking=0.25
124,"High shortage-risk segment · mean PC=(-0.32,-1.34,-0.31)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.14; low_risk_shortage=-1.14; understocking=1.01; overstocking=-1.01; normal_inventory=-0.35
125,"Overstocking-heavy procurement segment · mean PC=(-0.15,-0.07,-0.46)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; overstocking=0.36; understocking=-0.36; unequal_supply_regions=-0.18
126,"Strong understocking / lean-stock segment · mean PC=(-2.26,0.14,-0.24)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.81; understocking=0.81; unequal_supply_regions=-0.35
127,"Strong understocking / lean-stock segment · mean PC=(-2.25,-0.11,-0.28)",Strongest theme deviations vs cohort (z): overstocking=-1.00; understocking=1.00; high_risk_shortage=-0.88; low_risk_shortage=0.88; normal_inventory=-0.34
128,"High shortage-risk segment · mean PC=(-0.15,0.82,-0.19)",Strongest theme deviations vs cohort (z): understocking=1.37; overstocking=-1.37; normal_inventory=-0.95; low_risk_shortage=-0.48; high_risk_shortage=0.48
129,"Strong understocking / lean-stock segment · mean PC=(-1.31,-0.46,0.00)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.46; high_risk_shortage=-0.46
130,"High shortage-risk segment · mean PC=(0.40,-0.86,-0.26)",Strongest theme deviations vs cohort (z): normal_inventory=1.21; high_risk_shortage=0.65; low_risk_shortage=-0.65; equal_supply_regions=-0.13; unequal_supply_regions=0.13
131,"Overstocking-heavy procurement segment · mean PC=(0.07,0.47,-0.34)",Strongest theme deviations vs cohort (z): understocking=-0.94; overstocking=0.94; low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=-0.41
132,"High shortage-risk segment · mean PC=(-0.34,-1.36,-0.32)",Strongest theme deviations vs cohort (z): overstocking=-1.05; understocking=1.05; high_risk_shortage=0.53; low_risk_shortage=-0.53; normal_inventory=-0.42
133,"Strong understocking / lean-stock segment · mean PC=(-0.14,0.42,-0.35)",Strongest theme deviations vs cohort (z): understocking=1.00; overstocking=-1.00; normal_inventory=-0.78; equal_supply_regions=-0.18; unequal_supply_regions=0.18
134,"Strong understocking / lean-stock segment · mean PC=(-0.08,0.40,-0.34)",Strongest theme deviations vs cohort (z): understocking=0.86; overstocking=-0.86; normal_inventory=-0.66; equal_supply_regions=-0.04; unequal_supply_regions=0.04
135,"Mixed procurement profile segment · mean PC=(0.26,0.42,-0.26)",Strongest theme deviations vs cohort (z): equal_supply_regions=-0.36; unequal_supply_regions=0.36; normal_inventory=0.32; understocking=0.23; overstocking=-0.23
136,"Mixed procurement profile segment · mean PC=(0.49,-0.80,-0.38)",Strongest theme deviations vs cohort (z): normal_inventory=1.06; high_risk_shortage=0.26; low_risk_shortage=-0.26; equal_supply_regions=-0.18; unequal_supply_regions=0.18
137,"Mixed procurement profile segment · mean PC=(-0.17,0.37,-0.40)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.69; high_risk_shortage=-0.69; unequal_supply_regions=-0.45; equal_supply_regions=0.45; understocking=0.24
138,"Overstocking-heavy procurement segment · mean PC=(0.64,-0.22,-0.33)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.57; high_risk_shortage=-0.57; overstocking=0.52; understocking=-0.52; unequal_supply_regions=-0.23
139,"High shortage-risk segment · mean PC=(0.22,-0.99,-0.28)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.07; high_risk_shortage=1.07; normal_inventory=0.87; overstocking=-0.26; understocking=0.26
140,"Strong understocking / lean-stock segment · mean PC=(0.34,1.39,0.10)",Strongest theme deviations vs cohort (z): understocking=0.70; overstocking=-0.70; high_risk_shortage=0.31; low_risk_shortage=-0.31; normal_inventory=0.15
141,"High shortage-risk segment · mean PC=(0.68,-0.68,-0.29)",Strongest theme deviations vs cohort (z): normal_inventory=0.89; high_risk_shortage=0.66; low_risk_shortage=-0.66; understocking=-0.15; overstocking=0.15
142,"High shortage-risk segment · mean PC=(-0.13,-1.21,-0.33)",Strongest theme deviations vs cohort (z): low_risk_shortage=-0.77; high_risk_shortage=0.77; overstocking=-0.73; understocking=0.73; normal_inventory=0.10
143,"Mixed procurement profile segment · mean PC=(-0.26,-0.73,-0.57)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; normal_inventory=0.67; unequal_supply_regions=0.34; equal_supply_regions=-0.34
144,"Strong understocking / lean-stock segment · mean PC=(-1.64,-0.46,-0.12)",Strongest theme deviations vs cohort (z): understocking=1.50; overstocking=-1.50; normal_inventory=-1.15; unequal_supply_regions=0.70; equal_supply_regions=-0.70
145,"High shortage-risk segment · mean PC=(-2.07,-0.73,-0.11)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=-0.39; high_risk_shortage=0.39
146,"High shortage-risk segment · mean PC=(-0.87,-0.09,-0.19)",Strongest theme deviations vs cohort (z): normal_inventory=0.90; low_risk_shortage=-0.44; high_risk_shortage=0.44; overstocking=-0.24; understocking=0.24
147,"Mixed procurement profile segment · mean PC=(0.46,-0.81,-0.43)",Strongest theme deviations vs cohort (z): normal_inventory=0.77; high_risk_shortage=-0.48; low_risk_shortage=0.48; overstocking=0.11; understocking=-0.11
148,"Moderate understocking segment · mean PC=(-1.95,0.54,-0.09)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.88; low_risk_shortage=0.88; understocking=0.59; overstocking=-0.59; normal_inventory=0.33
149,"Strong understocking / lean-stock segment · mean PC=(-1.95,0.44,-0.11)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.66; understocking=0.66; normal_inventory=0.22
150,"Strong understocking / lean-stock segment · mean PC=(-1.94,0.25,-0.13)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.80; understocking=0.80; equal_supply_regions=-0.15
151,"Mixed procurement profile segment · mean PC=(-0.74,1.14,-0.44)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.73; equal_supply_regions=-0.73; normal_inventory=0.67; high_risk_shortage=-0.37; low_risk_shortage=0.37
152,"High shortage-risk segment · mean PC=(-0.36,-1.37,-0.41)",Strongest theme deviations vs cohort (z): overstocking=-1.09; understocking=1.09; high_risk_shortage=0.84; low_risk_shortage=-0.84; normal_inventory=-0.49
153,"High shortage-risk segment · mean PC=(0.20,1.91,0.07)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.05; equal_supply_regions=-1.05; normal_inventory=0.83; low_risk_shortage=-0.55; high_risk_shortage=0.55
154,"High shortage-risk segment · mean PC=(0.33,-0.91,-0.33)",Strongest theme deviations vs cohort (z): normal_inventory=1.02; high_risk_shortage=0.58; low_risk_shortage=-0.58; equal_supply_regions=-0.18; unequal_supply_regions=0.18
155,"High shortage-risk segment · mean PC=(-0.56,-0.55,-0.23)",Strongest theme deviations vs cohort (z): overstocking=-1.88; understocking=1.88; normal_inventory=-1.78; high_risk_shortage=0.35; low_risk_shortage=-0.35
156,"High shortage-risk segment · mean PC=(-0.64,-0.54,-0.23)",Strongest theme deviations vs cohort (z): understocking=1.86; overstocking=-1.86; normal_inventory=-1.77; high_risk_shortage=0.36; low_risk_shortage=-0.36
157,"Strong understocking / lean-stock segment · mean PC=(-0.84,0.51,-0.43)",Strongest theme deviations vs cohort (z): overstocking=-0.73; understocking=0.73; low_risk_shortage=-0.24; high_risk_shortage=0.24; equal_supply_regions=-0.19
158,"Mixed procurement profile segment · mean PC=(-0.38,0.61,-0.31)",Strongest theme deviations vs cohort (z): normal_inventory=0.71; understocking=0.26; overstocking=-0.26; low_risk_shortage=-0.23; high_risk_shortage=0.23
159,"Balanced baseline procurement segment · mean PC=(-0.07,0.24,-0.30)",No theme z-score exceeds ±0.35; cluster mean near the cohort average on the engineered theme proxies.
160,"Strong understocking / lean-stock segment · mean PC=(-0.52,-0.63,-0.58)",Strongest theme deviations vs cohort (z): understocking=1.12; overstocking=-1.12; normal_inventory=-0.63; low_risk_shortage=0.40; high_risk_shortage=-0.40
161,"High shortage-risk segment · mean PC=(0.55,-0.77,-0.34)",Strongest theme deviations vs cohort (z): normal_inventory=1.13; low_risk_shortage=-0.68; high_risk_shortage=0.68; equal_supply_regions=-0.16; unequal_supply_regions=0.16
162,"Strong understocking / lean-stock segment · mean PC=(-2.72,-0.26,-0.45)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; overstocking=-0.97; understocking=0.97; normal_inventory=-0.29
163,"High shortage-risk segment · mean PC=(0.19,-1.01,-0.34)",Strongest theme deviations vs cohort (z): normal_inventory=0.74; low_risk_shortage=-0.60; high_risk_shortage=0.60; overstocking=-0.27; understocking=0.27
164,"Strong understocking / lean-stock segment · mean PC=(-0.45,0.02,-0.45)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.89; low_risk_shortage=0.89; overstocking=-0.85; understocking=0.85; unequal_supply_regions=-0.40
165,"Mixed procurement profile segment · mean PC=(-0.30,-0.35,-0.53)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.80; high_risk_shortage=-0.80; unequal_supply_regions=-0.37; equal_supply_regions=0.37; understocking=0.22
166,"High shortage-risk segment · mean PC=(3.62,0.16,0.60)",Strongest theme deviations vs cohort (z): overstocking=0.62; understocking=-0.62; low_risk_shortage=-0.56; high_risk_shortage=0.56; normal_inventory=0.28
167,"Overstocking-heavy procurement segment · mean PC=(0.96,-0.85,-0.31)",Strongest theme deviations vs cohort (z): normal_inventory=0.51; overstocking=0.48; understocking=-0.48; high_risk_shortage=-0.39; low_risk_shortage=0.39
168,"Mixed procurement profile segment · mean PC=(0.43,-0.85,-0.37)",Strongest theme deviations vs cohort (z): normal_inventory=1.16; low_risk_shortage=-0.35; high_risk_shortage=0.35; equal_supply_regions=-0.13; unequal_supply_regions=0.13
169,"Strong understocking / lean-stock segment · mean PC=(-2.71,-0.45,-0.47)",Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; low_risk_shortage=1.02; high_risk_shortage=-1.02; normal_inventory=-0.55
170,"Mixed procurement profile segment · mean PC=(0.76,-0.63,-0.35)",Strongest theme deviations vs cohort (z): normal_inventory=0.71; overstocking=0.31; understocking=-0.31; equal_supply_regions=-0.21; unequal_supply_regions=0.21
171,"Mixed procurement profile segment · mean PC=(0.57,-0.75,-0.37)",Strongest theme deviations vs cohort (z): normal_inventory=1.02; overstocking=0.04; understocking=-0.04; equal_supply_regions=-0.03; unequal_supply_regions=0.03
172,"Mixed procurement profile segment · mean PC=(0.24,-0.97,-0.41)",Strongest theme deviations vs cohort (z): normal_inventory=0.81; overstocking=-0.29; understocking=0.29; high_risk_shortage=0.22; low_risk_shortage=-0.22
173,"Mixed procurement profile segment · mean PC=(-0.29,-0.27,-0.51)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.94; high_risk_shortage=-0.94; normal_inventory=0.37; overstocking=0.24; understocking=-0.24
174,"High shortage-risk segment · mean PC=(0.40,-0.87,-0.36)",Strongest theme deviations vs cohort (z): normal_inventory=1.03; high_risk_shortage=0.91; low_risk_shortage=-0.91; equal_supply_regions=-0.22; unequal_supply_regions=0.22
175,"Strong understocking / lean-stock segment · mean PC=(-2.30,-0.12,-0.25)",Strongest theme deviations vs cohort (z): overstocking=-1.21; understocking=1.21; normal_inventory=-0.69; low_risk_shortage=0.23; high_risk_shortage=-0.23
176,"Strong understocking / lean-stock segment · mean PC=(-2.31,0.05,-0.23)",Strongest theme deviations vs cohort (z): overstocking=-1.10; understocking=1.10; normal_inventory=-0.50; equal_supply_regions=-0.18; unequal_supply_regions=0.18
177,"Moderate understocking segment · mean PC=(-2.35,0.77,-0.14)",Strongest theme deviations vs cohort (z): overstocking=-0.57; understocking=0.57; normal_inventory=0.37; equal_supply_regions=-0.23; unequal_supply_regions=0.23
178,"Strong understocking / lean-stock segment · mean PC=(-2.29,-0.31,-0.28)",Strongest theme deviations vs cohort (z): overstocking=-1.22; understocking=1.22; unequal_supply_regions=0.70; equal_supply_regions=-0.70; normal_inventory=-0.70
179,"High shortage-risk segment · mean PC=(-0.27,-1.31,-0.43)",Strongest theme deviations vs cohort (z): understocking=0.97; overstocking=-0.97; low_risk_shortage=-0.84; high_risk_shortage=0.84; normal_inventory=-0.29
180,"Overstocking-heavy procurement segment · mean PC=(0.18,-0.35,-0.43)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; overstocking=0.77; understocking=-0.77; unequal_supply_regions=0.06
181,"Strong understocking / lean-stock segment · mean PC=(-1.44,-0.15,-0.02)",Strongest theme deviations vs cohort (z): overstocking=-1.28; understocking=1.28; normal_inventory=-0.81; low_risk_shortage=0.66; high_risk_shortage=-0.66
182,"Mixed procurement profile segment · mean PC=(0.44,-0.85,-0.44)",Strongest theme deviations vs cohort (z): normal_inventory=1.11; high_risk_shortage=0.29; low_risk_shortage=-0.29; equal_supply_regions=-0.16; unequal_supply_regions=0.16
183,"Strong understocking / lean-stock segment · mean PC=(-0.34,-1.36,-0.45)",Strongest theme deviations vs cohort (z): understocking=1.07; overstocking=-1.07; normal_inventory=-0.46; high_risk_shortage=0.19; low_risk_shortage=-0.19
184,"Overstocking-heavy procurement segment · mean PC=(1.02,-0.69,-0.31)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.72; low_risk_shortage=0.72; normal_inventory=0.56; understocking=-0.41; overstocking=0.41
185,"Strong understocking / lean-stock segment · mean PC=(-0.28,-1.32,-0.48)",Strongest theme deviations vs cohort (z): understocking=1.00; overstocking=-1.00; low_risk_shortage=-0.35; high_risk_shortage=0.35; normal_inventory=-0.34
186,"Severe surplus / extreme overstocking segment · mean PC=(0.76,0.49,-0.19)",Strongest theme deviations vs cohort (z): overstocking=1.50; understocking=-1.50; normal_inventory=-1.26; high_risk_shortage=-0.69; low_risk_shortage=0.69
187,"Overstocking-heavy procurement segment · mean PC=(1.19,-0.72,-0.26)",Strongest theme deviations vs cohort (z): overstocking=0.55; understocking=-0.55; high_risk_shortage=-0.54; low_risk_shortage=0.54; normal_inventory=0.40
188,"Strong understocking / lean-stock segment · mean PC=(-0.53,-1.00,-0.65)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.82; high_risk_shortage=-0.82; understocking=0.74; overstocking=-0.74; unequal_supply_regions=-0.15
189,"Strong understocking / lean-stock segment · mean PC=(-0.74,-0.53,-0.58)",Strongest theme deviations vs cohort (z): overstocking=-0.69; understocking=0.69; low_risk_shortage=0.68; high_risk_shortage=-0.68; unequal_supply_regions=-0.44
190,"Strong understocking / lean-stock segment · mean PC=(-0.31,-0.45,-0.56)",Strongest theme deviations vs cohort (z): understocking=0.88; overstocking=-0.88; low_risk_shortage=0.71; high_risk_shortage=-0.71; normal_inventory=-0.31
191,"Mixed procurement profile segment · mean PC=(-0.53,-0.28,-0.55)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=0.35; overstocking=-0.25; understocking=0.25
192,"Overstocking-heavy procurement segment · mean PC=(3.64,0.14,0.29)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; overstocking=0.63; understocking=-0.63; normal_inventory=0.27
193,"Mixed procurement profile segment · mean PC=(0.20,-1.01,-0.44)",Strongest theme deviations vs cohort (z): normal_inventory=0.79; unequal_supply_regions=0.23; equal_supply_regions=-0.23; understocking=0.17; overstocking=-0.17
194,"Strong understocking / lean-stock segment · mean PC=(-0.37,-0.73,-0.57)",Strongest theme deviations vs cohort (z): understocking=0.71; overstocking=-0.71; low_risk_shortage=0.63; high_risk_shortage=-0.63; equal_supply_regions=0.14
195,"High shortage-risk segment · mean PC=(0.24,-0.97,-0.46)",Strongest theme deviations vs cohort (z): high_risk_shortage=0.80; low_risk_shortage=-0.80; normal_inventory=0.74; understocking=0.34; overstocking=-0.34
196,"Severe surplus / extreme overstocking segment · mean PC=(1.27,-0.24,-0.19)",Strongest theme deviations vs cohort (z): understocking=-1.26; overstocking=1.26; high_risk_shortage=-0.86; low_risk_shortage=0.86; normal_inventory=-0.78
197,"Mixed procurement profile segment · mean PC=(-0.18,0.51,-0.20)",Strongest theme deviations vs cohort (z): normal_inventory=0.44; understocking=0.24; overstocking=-0.24; equal_supply_regions=-0.16; unequal_supply_regions=0.16
198,"Strong understocking / lean-stock segment · mean PC=(-2.16,0.76,-0.17)",Strongest theme deviations vs cohort (z): overstocking=-0.80; understocking=0.80; low_risk_shortage=0.48; high_risk_shortage=-0.48; equal_supply_regions=-0.13
199,"Mixed procurement profile segment · mean PC=(-0.41,-0.07,-0.48)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.91; low_risk_shortage=0.91; overstocking=-0.34; understocking=0.34; unequal_supply_regions=-0.20
200,"Strong understocking / lean-stock segment · mean PC=(-0.42,-1.41,-0.55)",Strongest theme deviations vs cohort (z): overstocking=-1.20; understocking=1.20; normal_inventory=-0.67; equal_supply_regions=-0.13; unequal_supply_regions=0.13
201,"Strong understocking / lean-stock segment · mean PC=(-0.23,-1.28,-0.54)",Strongest theme deviations vs cohort (z): overstocking=-0.94; understocking=0.94; normal_inventory=-0.25; high_risk_shortage=0.16; low_risk_shortage=-0.16
202,"Overstocking-heavy procurement segment · mean PC=(0.10,-0.03,-0.40)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.93; high_risk_shortage=-0.93; overstocking=0.86; understocking=-0.86; normal_inventory=-0.14
203,"Strong understocking / lean-stock segment · mean PC=(-2.99,-1.03,-0.63)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-1.04; low_risk_shortage=1.04
204,"Strong understocking / lean-stock segment · mean PC=(-0.48,-0.82,-0.62)",Strongest theme deviations vs cohort (z): overstocking=-0.86; understocking=0.86; high_risk_shortage=-0.84; low_risk_shortage=0.84; equal_supply_regions=-0.48
205,"Mixed procurement profile segment · mean PC=(-0.29,0.18,-0.46)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; unequal_supply_regions=-0.20; equal_supply_regions=0.20; normal_inventory=0.14
206,"High shortage-risk segment · mean PC=(0.80,-0.21,-0.36)",Strongest theme deviations vs cohort (z): high_risk_shortage=2.34; low_risk_shortage=-2.34; normal_inventory=1.15; equal_supply_regions=-0.13; unequal_supply_regions=0.13
207,"Mixed procurement profile segment · mean PC=(0.30,-0.94,-0.47)",Strongest theme deviations vs cohort (z): normal_inventory=0.76; high_risk_shortage=-0.51; low_risk_shortage=0.51; overstocking=-0.29; understocking=0.29
208,"Overstocking-heavy procurement segment · mean PC=(0.40,1.19,-0.15)",Strongest theme deviations vs cohort (z): overstocking=0.62; understocking=-0.62; normal_inventory=0.20; high_risk_shortage=-0.09; low_risk_shortage=0.09
209,"Strong understocking / lean-stock segment · mean PC=(-2.04,0.21,-0.12)",Strongest theme deviations vs cohort (z): overstocking=-0.80; understocking=0.80; low_risk_shortage=0.44; high_risk_shortage=-0.44; unequal_supply_regions=-0.13
210,"Strong understocking / lean-stock segment · mean PC=(-2.05,0.40,-0.09)",Strongest theme deviations vs cohort (z): overstocking=-0.66; understocking=0.66; low_risk_shortage=0.43; high_risk_shortage=-0.43; normal_inventory=0.21
211,"Mixed procurement profile segment · mean PC=(-0.44,-0.32,-0.56)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.89; high_risk_shortage=-0.89; normal_inventory=0.57; overstocking=-0.08; understocking=0.08
212,"Strong understocking / lean-stock segment · mean PC=(-1.74,0.29,-0.09)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.21; high_risk_shortage=-1.21; overstocking=-0.83; understocking=0.83; equal_supply_regions=-0.13
213,"Overstocking-heavy procurement segment · mean PC=(0.03,0.26,-0.38)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.74; low_risk_shortage=0.74; understocking=-0.55; overstocking=0.55; normal_inventory=-0.29
214,"Strong understocking / lean-stock segment · mean PC=(-2.88,-0.87,-0.58)",Strongest theme deviations vs cohort (z): understocking=1.50; overstocking=-1.50; normal_inventory=-1.15; high_risk_shortage=-0.97; low_risk_shortage=0.97
215,"Mixed procurement profile segment · mean PC=(-0.27,-0.43,-0.53)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.83; high_risk_shortage=-0.83; unequal_supply_regions=0.60; equal_supply_regions=-0.60; normal_inventory=0.54
216,"Mixed procurement profile segment · mean PC=(0.60,-0.78,-0.40)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.83; high_risk_shortage=-0.83; normal_inventory=0.66; unequal_supply_regions=-0.01; equal_supply_regions=0.01
217,"Mixed procurement profile segment · mean PC=(0.02,-0.95,-0.55)",Strongest theme deviations vs cohort (z): normal_inventory=0.88; high_risk_shortage=-0.85; low_risk_shortage=0.85; equal_supply_regions=-0.31; unequal_supply_regions=0.31
218,"Overstocking-heavy procurement segment · mean PC=(-0.24,0.76,-0.38)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.90; low_risk_shortage=0.90; overstocking=0.46; understocking=-0.46; normal_inventory=0.21
219,"Moderate understocking segment · mean PC=(-1.12,1.02,-0.50)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.95; equal_supply_regions=-0.95; understocking=0.60; overstocking=-0.60; normal_inventory=0.23
220,"Moderate understocking segment · mean PC=(-0.40,-0.57,-0.58)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.90; low_risk_shortage=0.90; overstocking=-0.46; understocking=0.46; normal_inventory=0.16
221,"Overstocking-heavy procurement segment · mean PC=(0.14,0.30,-0.35)",Strongest theme deviations vs cohort (z): understocking=-1.13; overstocking=1.13; low_risk_shortage=0.85; high_risk_shortage=-0.85; normal_inventory=-0.65
222,"High shortage-risk segment · mean PC=(-0.41,-1.36,2.46)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.40; low_risk_shortage=-1.40; normal_inventory=0.55; understocking=0.46; overstocking=-0.46
223,"Mixed procurement profile segment · mean PC=(-0.37,0.08,-0.49)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; normal_inventory=0.33; understocking=-0.31; overstocking=0.31
224,"Mixed procurement profile segment · mean PC=(-0.61,-0.56,-0.61)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.00; low_risk_shortage=1.00; normal_inventory=0.67; overstocking=-0.19; understocking=0.19
225,"High shortage-risk segment · mean PC=(-1.11,-0.46,2.60)",Strongest theme deviations vs cohort (z): high_risk_shortage=3.81; low_risk_shortage=-3.81; normal_inventory=-2.04; understocking=2.04; overstocking=-2.04
226,"Overstocking-heavy procurement segment · mean PC=(0.92,-0.22,-0.20)",Strongest theme deviations vs cohort (z): understocking=-0.90; overstocking=0.90; unequal_supply_regions=0.50; equal_supply_regions=-0.50; normal_inventory=-0.32
227,"Overstocking-heavy procurement segment · mean PC=(0.48,-0.11,-0.28)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.47; equal_supply_regions=-0.47; overstocking=0.44; understocking=-0.44; low_risk_shortage=0.30
228,"Overstocking-heavy procurement segment · mean PC=(0.52,-0.12,-0.27)",Strongest theme deviations vs cohort (z): overstocking=0.51; understocking=-0.51; unequal_supply_regions=0.34; equal_supply_regions=-0.34; low_risk_shortage=0.27
229,"Mixed procurement profile segment · mean PC=(-0.05,-0.51,-0.51)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.93; high_risk_shortage=-0.93; unequal_supply_regions=0.26; equal_supply_regions=-0.26; overstocking=-0.16
230,"Overstocking-heavy procurement segment · mean PC=(0.19,-0.63,-0.46)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.86; high_risk_shortage=-0.86; overstocking=0.37; understocking=-0.37; normal_inventory=0.35
231,"Mixed procurement profile segment · mean PC=(-0.46,-0.20,-0.53)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.67; low_risk_shortage=0.67; normal_inventory=0.34; unequal_supply_regions=-0.24; equal_supply_regions=0.24
232,"Severe surplus / extreme overstocking segment · mean PC=(1.21,0.70,-0.08)",Strongest theme deviations vs cohort (z): overstocking=2.00; understocking=-2.00; normal_inventory=-1.98; low_risk_shortage=0.88; high_risk_shortage=-0.88
233,"Strong understocking / lean-stock segment · mean PC=(-2.75,0.17,-0.39)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.98; high_risk_shortage=-0.98; understocking=0.66; overstocking=-0.66; normal_inventory=0.22
234,"High shortage-risk segment · mean PC=(-0.38,-1.34,2.23)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.16; high_risk_shortage=1.16; normal_inventory=0.53; understocking=0.47; overstocking=-0.47
235,"Moderate understocking segment · mean PC=(-0.43,0.17,-0.44)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.80; high_risk_shortage=-0.80; understocking=0.59; overstocking=-0.59; unequal_supply_regions=-0.56
236,"Strong understocking / lean-stock segment · mean PC=(-1.95,-0.57,-0.19)",Strongest theme deviations vs cohort (z): understocking=1.50; overstocking=-1.50; normal_inventory=-1.15; high_risk_shortage=-0.37; low_risk_shortage=0.37
237,"Mixed procurement profile segment · mean PC=(-0.32,0.23,-0.44)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; unequal_supply_regions=-0.23; equal_supply_regions=0.23; understocking=0.14
238,"Mixed procurement profile segment · mean PC=(0.06,-0.79,-0.64)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.94; high_risk_shortage=-0.94; unequal_supply_regions=-0.60; equal_supply_regions=0.60; normal_inventory=0.43
239,"Mixed procurement profile segment · mean PC=(-0.26,0.56,-0.40)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.48; low_risk_shortage=0.48; unequal_supply_regions=0.45; equal_supply_regions=-0.45; normal_inventory=0.37
