value,count,share_within_cluster
Public Bidding,19,0.6129032258064516
Negotiated Procurement - Emergency Cases (Sec. 53.2),4,0.12903225806451613
Direct Contracting (Sec. 50),2,0.06451612903225806
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),2,0.06451612903225806
Negotiated Procurement - Small Value Procurement (Sec. 53.9),2,0.06451612903225806
Negotiated Procurement - Agency to Agency (Sec. 53.5),1,0.03225806451612903
Negotiated Procurement - Lease of Real Property (Sec. 53.10),1,0.03225806451612903
