value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,22856,0.2559118595485489
Drugs and Medicines,19610,0.21956735936940164
Laboratory Supplies and Equipment,13676,0.15312611967036904
Construction Projects,8718,0.09761286277319957
Hospital / Medical Equipment,7443,0.08333706556789681
Medical and Dental Equipment,6197,0.06938597276961662
General Merchandise,1148,0.0128538158366177
Services,764,0.008554281619491223
Hospital / Medical Equipment Services,668,0.007479398065209602
Information Technology,448,0.005016123253314225
