value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,54,0.8181818181818182
Laboratory and Measuring and Observing and Testing Equipment,4,0.06060606060606061
Drugs and Pharmaceutical Products,3,0.045454545454545456
Furniture and Furnishings,1,0.015151515151515152
Industrial Cleaning Services,1,0.015151515151515152
Healthcare Services,1,0.015151515151515152
Structures and Building and Construction and Manufacturing Components and Supplies,1,0.015151515151515152
Lease and rental of property or building,1,0.015151515151515152
