value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,38642,0.9996119719585068
Drugs and Pharmaceutical Products,5,0.00012934268049771063
Laboratory and Measuring and Observing and Testing Equipment,2,5.173707219908425e-05
Building construction management,2,5.173707219908425e-05
Building and Facility Construction and Maintenance Services,1,2.5868536099542126e-05
Commercial and office building prefabricated erection service,1,2.5868536099542126e-05
Access roads,1,2.5868536099542126e-05
Wheelchairs,1,2.5868536099542126e-05
Furniture,1,2.5868536099542126e-05
Emergency medical services first aid kits,1,2.5868536099542126e-05
