value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,12960,0.335256227850066
Drugs and Medicines,9156,0.2368523165274077
Laboratory Supplies and Equipment,6042,0.15629769511343353
Medical and Dental Equipment,1177,0.030447266989161084
Hospital / Medical Equipment,950,0.02457510929456502
General Merchandise,916,0.02369557906718059
Construction Projects,902,0.023333419561787
Educational Materials and Supplies,697,0.01803036966138086
Office Equipment Supplies and Consumables,543,0.014046615102051374
Veterinary Products and Supplies,405,0.010476757120314562
