PhilGEPS DBSCAN — semantic legend reference (full labels vs grouped plot legend)
Encoding: UTF-8. Delimiter: TAB. cluster_id = actual DBSCAN assignment; Display group = plot bucket.

Display group	Actual cluster_id	Semantic label	Short rationale	Count	Share
Other DBSCAN clusters	18	Severe surplus / extreme overstocking segment · mean PC=(0.37,0.14,-0.45)	Strongest theme deviations vs cohort (z): understocking=-1.21; overstocking=1.21; high_risk_shortage=-1.08; low_risk_shortage=1.08; normal_inventory=-0.73	43	0.009%
Other DBSCAN clusters	19	High shortage-risk segment · mean PC=(3.36,-0.35,0.06)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.68; low_risk_shortage=-0.68; understocking=-0.62; overstocking=0.62; equal_supply_regions=0.52	16	0.003%
Other DBSCAN clusters	20	Severe surplus / extreme overstocking segment · mean PC=(2.07,1.21,0.04)	Strongest theme deviations vs cohort (z): normal_inventory=-2.76; understocking=-2.48; overstocking=2.48; high_risk_shortage=-1.26; low_risk_shortage=1.26	33	0.007%
Other DBSCAN clusters	21	Mixed procurement profile segment · mean PC=(0.04,-1.01,-0.67)	Strongest theme deviations vs cohort (z): normal_inventory=1.02; high_risk_shortage=-0.60; low_risk_shortage=0.60; unequal_supply_regions=-0.57; equal_supply_regions=0.57	35	0.007%
Other DBSCAN clusters	22	Strong understocking / lean-stock segment · mean PC=(-0.46,-1.44,-0.75)	Strongest theme deviations vs cohort (z): understocking=1.28; overstocking=-1.28; high_risk_shortage=-1.18; low_risk_shortage=1.18; normal_inventory=-0.80	34	0.007%
Other DBSCAN clusters	23	High shortage-risk segment · mean PC=(-0.53,-1.14,-0.80)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.71; low_risk_shortage=-0.71; normal_inventory=0.65; unequal_supply_regions=0.55; equal_supply_regions=-0.55	20	0.004%
Other DBSCAN clusters	24	Strong understocking / lean-stock segment · mean PC=(-0.59,-1.07,-0.68)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; understocking=0.74; overstocking=-0.74; unequal_supply_regions=-0.15	102	0.021%
Other DBSCAN clusters	28	Strong understocking / lean-stock segment · mean PC=(-1.09,-1.37,-0.81)	Strongest theme deviations vs cohort (z): overstocking=-1.37; understocking=1.37; normal_inventory=-0.95; high_risk_shortage=-0.76; low_risk_shortage=0.76	200	0.041%
Other DBSCAN clusters	29	High shortage-risk segment · mean PC=(-0.51,-1.39,5.08)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.22; low_risk_shortage=-1.04; high_risk_shortage=1.04	66	0.014%
Other DBSCAN clusters	30	Overstocking-heavy procurement segment · mean PC=(-0.35,0.72,-0.39)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.77; high_risk_shortage=-0.77; understocking=-0.50; overstocking=0.50; unequal_supply_regions=-0.25	37	0.008%
Other DBSCAN clusters	31	High shortage-risk segment · mean PC=(-1.31,-1.92,4.98)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; overstocking=-1.13; understocking=1.13; low_risk_shortage=-1.04	42	0.009%
Other DBSCAN clusters	32	Mixed procurement profile segment · mean PC=(0.22,-0.85,-0.49)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.98; low_risk_shortage=0.98; normal_inventory=0.59; understocking=-0.15; overstocking=0.15	33	0.007%
Other DBSCAN clusters	33	High shortage-risk segment · mean PC=(-0.43,-1.34,5.09)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.24; low_risk_shortage=-1.11; high_risk_shortage=1.11	39	0.008%
Other DBSCAN clusters	34	High shortage-risk segment · mean PC=(-0.25,-1.22,5.11)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; low_risk_shortage=-1.04; high_risk_shortage=1.04; normal_inventory=0.95	38	0.008%
Other DBSCAN clusters	35	Strong understocking / lean-stock segment · mean PC=(-1.78,-0.62,-0.19)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.78; low_risk_shortage=0.78	34	0.007%
Other DBSCAN clusters	36	Severe surplus / extreme overstocking segment · mean PC=(0.76,0.55,-0.19)	Strongest theme deviations vs cohort (z): overstocking=1.77; understocking=-1.77; normal_inventory=-1.60; high_risk_shortage=-0.88; low_risk_shortage=0.88	27	0.006%
Other DBSCAN clusters	37	Strong understocking / lean-stock segment · mean PC=(-2.81,-0.97,-0.57)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.99; low_risk_shortage=0.99	61	0.013%
