PhilGEPS DBSCAN — semantic legend reference (full labels vs grouped plot legend)
Encoding: UTF-8. Delimiter: TAB. cluster_id = actual DBSCAN assignment; Display group = plot bucket.

Display group	Actual cluster_id	Semantic label	Short rationale	Count	Share
Other DBSCAN clusters	93	Overstocking-heavy procurement segment · mean PC=(-0.11,0.12,-0.42)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.78; high_risk_shortage=-0.78; overstocking=0.40; understocking=-0.40; unequal_supply_regions=0.07	31	0.006%
Other DBSCAN clusters	94	Strong understocking / lean-stock segment · mean PC=(-1.74,0.08,-0.80)	Strongest theme deviations vs cohort (z): understocking=0.71; overstocking=-0.71; low_risk_shortage=0.69; high_risk_shortage=-0.69; unequal_supply_regions=0.45	32	0.007%
Other DBSCAN clusters	95	Strong understocking / lean-stock segment · mean PC=(0.09,0.04,-0.34)	Strongest theme deviations vs cohort (z): overstocking=-0.84; understocking=0.84; unequal_supply_regions=-0.57; equal_supply_regions=0.57; normal_inventory=-0.53	50	0.010%
Other DBSCAN clusters	96	Mixed procurement profile segment · mean PC=(0.75,-0.75,-0.36)	Strongest theme deviations vs cohort (z): normal_inventory=0.79; low_risk_shortage=0.71; high_risk_shortage=-0.71; unequal_supply_regions=0.03; equal_supply_regions=-0.03	40	0.008%
Other DBSCAN clusters	97	Overstocking-heavy procurement segment · mean PC=(3.53,-0.03,0.28)	Strongest theme deviations vs cohort (z): understocking=-0.63; overstocking=0.63; high_risk_shortage=-0.61; low_risk_shortage=0.61; normal_inventory=0.27	189	0.039%
Other DBSCAN clusters	98	Strong understocking / lean-stock segment · mean PC=(-0.90,0.55,-0.48)	Strongest theme deviations vs cohort (z): understocking=1.33; overstocking=-1.33; normal_inventory=-0.95; high_risk_shortage=0.16; low_risk_shortage=-0.16	44	0.009%
Other DBSCAN clusters	99	Mixed procurement profile segment · mean PC=(-0.23,0.10,-0.46)	Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; unequal_supply_regions=-0.42; equal_supply_regions=0.42; overstocking=0.13	42	0.009%
Other DBSCAN clusters	100	Overstocking-heavy procurement segment · mean PC=(3.59,0.07,0.30)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.67; high_risk_shortage=-0.67; understocking=-0.63; overstocking=0.63; normal_inventory=0.27	34	0.007%
Other DBSCAN clusters	101	Overstocking-heavy procurement segment · mean PC=(-0.50,-0.03,-0.53)	Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; normal_inventory=0.52; understocking=-0.38; overstocking=0.38	20	0.004%
Other DBSCAN clusters	102	Mixed procurement profile segment · mean PC=(-0.50,0.30,-0.48)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.73; high_risk_shortage=-0.73; normal_inventory=0.31; unequal_supply_regions=-0.13; equal_supply_regions=0.13	47	0.010%
Other DBSCAN clusters	103	Overstocking-heavy procurement segment · mean PC=(0.71,0.40,-0.23)	Strongest theme deviations vs cohort (z): overstocking=0.98; understocking=-0.98; high_risk_shortage=-0.85; low_risk_shortage=0.85; normal_inventory=-0.68	138	0.028%
Other DBSCAN clusters	104	High shortage-risk segment · mean PC=(0.79,-0.22,-0.29)	Strongest theme deviations vs cohort (z): low_risk_shortage=-0.98; high_risk_shortage=0.98; normal_inventory=0.44; understocking=-0.33; overstocking=0.33	46	0.009%
Other DBSCAN clusters	105	Strong understocking / lean-stock segment · mean PC=(-2.01,0.42,-0.09)	Strongest theme deviations vs cohort (z): understocking=0.66; overstocking=-0.66; low_risk_shortage=0.50; high_risk_shortage=-0.50; normal_inventory=0.22	44	0.009%
Other DBSCAN clusters	106	Strong understocking / lean-stock segment · mean PC=(-0.24,-0.33,-0.53)	Strongest theme deviations vs cohort (z): understocking=0.67; overstocking=-0.67; unequal_supply_regions=-0.48; equal_supply_regions=0.48; high_risk_shortage=-0.35	76	0.016%
Other DBSCAN clusters	107	Mixed procurement profile segment · mean PC=(-0.26,-0.63,-0.56)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; normal_inventory=0.53; equal_supply_regions=-0.13; unequal_supply_regions=0.13	48	0.010%
Other DBSCAN clusters	108	Mixed procurement profile segment · mean PC=(-0.64,-0.17,-0.57)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.91; high_risk_shortage=-0.91; normal_inventory=0.62; overstocking=0.16; understocking=-0.16	40	0.008%
Other DBSCAN clusters	109	Mixed procurement profile segment · mean PC=(0.90,-0.78,-0.34)	Strongest theme deviations vs cohort (z): normal_inventory=0.94; low_risk_shortage=0.73; high_risk_shortage=-0.73; understocking=-0.11; overstocking=0.11	76	0.016%
Other DBSCAN clusters	110	Moderate understocking segment · mean PC=(-0.51,-0.42,-0.57)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.83; high_risk_shortage=-0.83; overstocking=-0.46; understocking=0.46; normal_inventory=0.23	68	0.014%
Other DBSCAN clusters	111	Mixed procurement profile segment · mean PC=(0.01,-0.67,-0.50)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.71; low_risk_shortage=0.71; normal_inventory=0.49; overstocking=0.26; understocking=-0.26	29	0.006%
Other DBSCAN clusters	112	Strong understocking / lean-stock segment · mean PC=(-1.48,-1.40,-0.90)	Strongest theme deviations vs cohort (z): overstocking=-1.54; understocking=1.54; normal_inventory=-1.22; low_risk_shortage=1.04; high_risk_shortage=-1.04	39	0.008%
Other DBSCAN clusters	113	Moderate understocking segment · mean PC=(-0.58,-1.15,-0.81)	Strongest theme deviations vs cohort (z): normal_inventory=0.59; overstocking=-0.43; understocking=0.43; high_risk_shortage=0.12; low_risk_shortage=-0.12	24	0.005%
Other DBSCAN clusters	114	Severe surplus / extreme overstocking segment · mean PC=(1.28,0.71,-0.19)	Strongest theme deviations vs cohort (z): normal_inventory=-2.14; understocking=-2.10; overstocking=2.10; high_risk_shortage=-1.23; low_risk_shortage=1.23	24	0.005%
Other DBSCAN clusters	115	Strong understocking / lean-stock segment · mean PC=(-0.94,-1.34,-0.78)	Strongest theme deviations vs cohort (z): understocking=1.31; overstocking=-1.31; low_risk_shortage=1.02; high_risk_shortage=-1.02; normal_inventory=-0.85	28	0.006%
Other DBSCAN clusters	116	Strong understocking / lean-stock segment · mean PC=(-2.04,-1.25,-1.01)	Strongest theme deviations vs cohort (z): overstocking=-1.79; understocking=1.79; normal_inventory=-1.63; low_risk_shortage=1.05; high_risk_shortage=-1.05	38	0.008%
Other DBSCAN clusters	117	High shortage-risk segment · mean PC=(0.52,0.50,-0.02)	Strongest theme deviations vs cohort (z): understocking=1.45; overstocking=-1.45; normal_inventory=-1.07; low_risk_shortage=-0.36; high_risk_shortage=0.36	30	0.006%
Other DBSCAN clusters	118	High shortage-risk segment · mean PC=(0.66,-0.69,-0.21)	Strongest theme deviations vs cohort (z): high_risk_shortage=1.49; low_risk_shortage=-1.49; normal_inventory=0.93; understocking=-0.21; overstocking=0.21	69	0.014%
Other DBSCAN clusters	120	Overstocking-heavy procurement segment · mean PC=(0.17,-0.21,-0.41)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.90; low_risk_shortage=0.90; understocking=-0.77; overstocking=0.77; equal_supply_regions=-0.35	40	0.008%
Other DBSCAN clusters	121	High shortage-risk segment · mean PC=(0.01,-1.12,-0.29)	Strongest theme deviations vs cohort (z): low_risk_shortage=-1.61; high_risk_shortage=1.61; understocking=0.55; overstocking=-0.55; normal_inventory=0.41	49	0.010%
Other DBSCAN clusters	122	High shortage-risk segment · mean PC=(0.48,-0.81,-0.25)	Strongest theme deviations vs cohort (z): normal_inventory=1.11; low_risk_shortage=-1.08; high_risk_shortage=1.08; equal_supply_regions=-0.12; unequal_supply_regions=0.12	46	0.009%
Other DBSCAN clusters	123	Mixed procurement profile segment · mean PC=(-0.40,-0.75,-0.60)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.98; low_risk_shortage=0.98; normal_inventory=0.62; overstocking=-0.25; understocking=0.25	30	0.006%
Other DBSCAN clusters	124	High shortage-risk segment · mean PC=(-0.32,-1.34,-0.31)	Strongest theme deviations vs cohort (z): high_risk_shortage=1.14; low_risk_shortage=-1.14; understocking=1.01; overstocking=-1.01; normal_inventory=-0.35	20	0.004%
Other DBSCAN clusters	125	Overstocking-heavy procurement segment · mean PC=(-0.15,-0.07,-0.46)	Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; overstocking=0.36; understocking=-0.36; unequal_supply_regions=-0.18	33	0.007%
Other DBSCAN clusters	126	Strong understocking / lean-stock segment · mean PC=(-2.26,0.14,-0.24)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.81; understocking=0.81; unequal_supply_regions=-0.35	21	0.004%
Other DBSCAN clusters	127	Strong understocking / lean-stock segment · mean PC=(-2.25,-0.11,-0.28)	Strongest theme deviations vs cohort (z): overstocking=-1.00; understocking=1.00; high_risk_shortage=-0.88; low_risk_shortage=0.88; normal_inventory=-0.34	23	0.005%
Other DBSCAN clusters	128	High shortage-risk segment · mean PC=(-0.15,0.82,-0.19)	Strongest theme deviations vs cohort (z): understocking=1.37; overstocking=-1.37; normal_inventory=-0.95; low_risk_shortage=-0.48; high_risk_shortage=0.48	22	0.005%
Other DBSCAN clusters	129	Strong understocking / lean-stock segment · mean PC=(-1.31,-0.46,0.00)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.46; high_risk_shortage=-0.46	38	0.008%
Other DBSCAN clusters	130	High shortage-risk segment · mean PC=(0.40,-0.86,-0.26)	Strongest theme deviations vs cohort (z): normal_inventory=1.21; high_risk_shortage=0.65; low_risk_shortage=-0.65; equal_supply_regions=-0.13; unequal_supply_regions=0.13	34	0.007%
Other DBSCAN clusters	131	Overstocking-heavy procurement segment · mean PC=(0.07,0.47,-0.34)	Strongest theme deviations vs cohort (z): understocking=-0.94; overstocking=0.94; low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=-0.41	33	0.007%
Other DBSCAN clusters	132	High shortage-risk segment · mean PC=(-0.34,-1.36,-0.32)	Strongest theme deviations vs cohort (z): overstocking=-1.05; understocking=1.05; high_risk_shortage=0.53; low_risk_shortage=-0.53; normal_inventory=-0.42	18	0.004%
Other DBSCAN clusters	133	Strong understocking / lean-stock segment · mean PC=(-0.14,0.42,-0.35)	Strongest theme deviations vs cohort (z): understocking=1.00; overstocking=-1.00; normal_inventory=-0.78; equal_supply_regions=-0.18; unequal_supply_regions=0.18	43	0.009%
Other DBSCAN clusters	134	Strong understocking / lean-stock segment · mean PC=(-0.08,0.40,-0.34)	Strongest theme deviations vs cohort (z): understocking=0.86; overstocking=-0.86; normal_inventory=-0.66; equal_supply_regions=-0.04; unequal_supply_regions=0.04	46	0.009%
Other DBSCAN clusters	135	Mixed procurement profile segment · mean PC=(0.26,0.42,-0.26)	Strongest theme deviations vs cohort (z): equal_supply_regions=-0.36; unequal_supply_regions=0.36; normal_inventory=0.32; understocking=0.23; overstocking=-0.23	30	0.006%
Other DBSCAN clusters	136	Mixed procurement profile segment · mean PC=(0.49,-0.80,-0.38)	Strongest theme deviations vs cohort (z): normal_inventory=1.06; high_risk_shortage=0.26; low_risk_shortage=-0.26; equal_supply_regions=-0.18; unequal_supply_regions=0.18	71	0.015%
Other DBSCAN clusters	137	Mixed procurement profile segment · mean PC=(-0.17,0.37,-0.40)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.69; high_risk_shortage=-0.69; unequal_supply_regions=-0.45; equal_supply_regions=0.45; understocking=0.24	52	0.011%
Other DBSCAN clusters	138	Overstocking-heavy procurement segment · mean PC=(0.64,-0.22,-0.33)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.57; high_risk_shortage=-0.57; overstocking=0.52; understocking=-0.52; unequal_supply_regions=-0.23	23	0.005%
Other DBSCAN clusters	139	High shortage-risk segment · mean PC=(0.22,-0.99,-0.28)	Strongest theme deviations vs cohort (z): low_risk_shortage=-1.07; high_risk_shortage=1.07; normal_inventory=0.87; overstocking=-0.26; understocking=0.26	20	0.004%
Other DBSCAN clusters	140	Strong understocking / lean-stock segment · mean PC=(0.34,1.39,0.10)	Strongest theme deviations vs cohort (z): understocking=0.70; overstocking=-0.70; high_risk_shortage=0.31; low_risk_shortage=-0.31; normal_inventory=0.15	20	0.004%
Other DBSCAN clusters	141	High shortage-risk segment · mean PC=(0.68,-0.68,-0.29)	Strongest theme deviations vs cohort (z): normal_inventory=0.89; high_risk_shortage=0.66; low_risk_shortage=-0.66; understocking=-0.15; overstocking=0.15	28	0.006%
Other DBSCAN clusters	142	High shortage-risk segment · mean PC=(-0.13,-1.21,-0.33)	Strongest theme deviations vs cohort (z): low_risk_shortage=-0.77; high_risk_shortage=0.77; overstocking=-0.73; understocking=0.73; normal_inventory=0.10	20	0.004%
Other DBSCAN clusters	143	Mixed procurement profile segment · mean PC=(-0.26,-0.73,-0.57)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; normal_inventory=0.67; unequal_supply_regions=0.34; equal_supply_regions=-0.34	48	0.010%
Other DBSCAN clusters	144	Strong understocking / lean-stock segment · mean PC=(-1.64,-0.46,-0.12)	Strongest theme deviations vs cohort (z): understocking=1.50; overstocking=-1.50; normal_inventory=-1.15; unequal_supply_regions=0.70; equal_supply_regions=-0.70	22	0.005%
Other DBSCAN clusters	145	High shortage-risk segment · mean PC=(-2.07,-0.73,-0.11)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=-0.39; high_risk_shortage=0.39	34	0.007%
Other DBSCAN clusters	146	High shortage-risk segment · mean PC=(-0.87,-0.09,-0.19)	Strongest theme deviations vs cohort (z): normal_inventory=0.90; low_risk_shortage=-0.44; high_risk_shortage=0.44; overstocking=-0.24; understocking=0.24	20	0.004%
Other DBSCAN clusters	147	Mixed procurement profile segment · mean PC=(0.46,-0.81,-0.43)	Strongest theme deviations vs cohort (z): normal_inventory=0.77; high_risk_shortage=-0.48; low_risk_shortage=0.48; overstocking=0.11; understocking=-0.11	38	0.008%
Other DBSCAN clusters	148	Moderate understocking segment · mean PC=(-1.95,0.54,-0.09)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.88; low_risk_shortage=0.88; understocking=0.59; overstocking=-0.59; normal_inventory=0.33	48	0.010%
Other DBSCAN clusters	149	Strong understocking / lean-stock segment · mean PC=(-1.95,0.44,-0.11)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.66; understocking=0.66; normal_inventory=0.22	48	0.010%
Other DBSCAN clusters	150	Strong understocking / lean-stock segment · mean PC=(-1.94,0.25,-0.13)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.87; low_risk_shortage=0.87; overstocking=-0.80; understocking=0.80; equal_supply_regions=-0.15	43	0.009%
Other DBSCAN clusters	151	Mixed procurement profile segment · mean PC=(-0.74,1.14,-0.44)	Strongest theme deviations vs cohort (z): unequal_supply_regions=0.73; equal_supply_regions=-0.73; normal_inventory=0.67; high_risk_shortage=-0.37; low_risk_shortage=0.37	48	0.010%
Other DBSCAN clusters	152	High shortage-risk segment · mean PC=(-0.36,-1.37,-0.41)	Strongest theme deviations vs cohort (z): overstocking=-1.09; understocking=1.09; high_risk_shortage=0.84; low_risk_shortage=-0.84; normal_inventory=-0.49	24	0.005%
Other DBSCAN clusters	153	High shortage-risk segment · mean PC=(0.20,1.91,0.07)	Strongest theme deviations vs cohort (z): unequal_supply_regions=1.05; equal_supply_regions=-1.05; normal_inventory=0.83; low_risk_shortage=-0.55; high_risk_shortage=0.55	44	0.009%
Other DBSCAN clusters	154	High shortage-risk segment · mean PC=(0.33,-0.91,-0.33)	Strongest theme deviations vs cohort (z): normal_inventory=1.02; high_risk_shortage=0.58; low_risk_shortage=-0.58; equal_supply_regions=-0.18; unequal_supply_regions=0.18	22	0.005%
Other DBSCAN clusters	155	High shortage-risk segment · mean PC=(-0.56,-0.55,-0.23)	Strongest theme deviations vs cohort (z): overstocking=-1.88; understocking=1.88; normal_inventory=-1.78; high_risk_shortage=0.35; low_risk_shortage=-0.35	20	0.004%
Other DBSCAN clusters	156	High shortage-risk segment · mean PC=(-0.64,-0.54,-0.23)	Strongest theme deviations vs cohort (z): understocking=1.86; overstocking=-1.86; normal_inventory=-1.77; high_risk_shortage=0.36; low_risk_shortage=-0.36	27	0.006%
Other DBSCAN clusters	157	Strong understocking / lean-stock segment · mean PC=(-0.84,0.51,-0.43)	Strongest theme deviations vs cohort (z): overstocking=-0.73; understocking=0.73; low_risk_shortage=-0.24; high_risk_shortage=0.24; equal_supply_regions=-0.19	23	0.005%
Other DBSCAN clusters	158	Mixed procurement profile segment · mean PC=(-0.38,0.61,-0.31)	Strongest theme deviations vs cohort (z): normal_inventory=0.71; understocking=0.26; overstocking=-0.26; low_risk_shortage=-0.23; high_risk_shortage=0.23	23	0.005%
Other DBSCAN clusters	159	Balanced baseline procurement segment · mean PC=(-0.07,0.24,-0.30)	No theme z-score exceeds ±0.35; cluster mean near the cohort average on the engineered theme proxies.	27	0.006%
Other DBSCAN clusters	160	Strong understocking / lean-stock segment · mean PC=(-0.52,-0.63,-0.58)	Strongest theme deviations vs cohort (z): understocking=1.12; overstocking=-1.12; normal_inventory=-0.63; low_risk_shortage=0.40; high_risk_shortage=-0.40	49	0.010%
Other DBSCAN clusters	161	High shortage-risk segment · mean PC=(0.55,-0.77,-0.34)	Strongest theme deviations vs cohort (z): normal_inventory=1.13; low_risk_shortage=-0.68; high_risk_shortage=0.68; equal_supply_regions=-0.16; unequal_supply_regions=0.16	23	0.005%
Other DBSCAN clusters	162	Strong understocking / lean-stock segment · mean PC=(-2.72,-0.26,-0.45)	Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; overstocking=-0.97; understocking=0.97; normal_inventory=-0.29	32	0.007%
Other DBSCAN clusters	163	High shortage-risk segment · mean PC=(0.19,-1.01,-0.34)	Strongest theme deviations vs cohort (z): normal_inventory=0.74; low_risk_shortage=-0.60; high_risk_shortage=0.60; overstocking=-0.27; understocking=0.27	20	0.004%
Other DBSCAN clusters	164	Strong understocking / lean-stock segment · mean PC=(-0.45,0.02,-0.45)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.89; low_risk_shortage=0.89; overstocking=-0.85; understocking=0.85; unequal_supply_regions=-0.40	111	0.023%
Other DBSCAN clusters	165	Mixed procurement profile segment · mean PC=(-0.30,-0.35,-0.53)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.80; high_risk_shortage=-0.80; unequal_supply_regions=-0.37; equal_supply_regions=0.37; understocking=0.22	48	0.010%
Other DBSCAN clusters	166	High shortage-risk segment · mean PC=(3.62,0.16,0.60)	Strongest theme deviations vs cohort (z): overstocking=0.62; understocking=-0.62; low_risk_shortage=-0.56; high_risk_shortage=0.56; normal_inventory=0.28	59	0.012%
Other DBSCAN clusters	167	Overstocking-heavy procurement segment · mean PC=(0.96,-0.85,-0.31)	Strongest theme deviations vs cohort (z): normal_inventory=0.51; overstocking=0.48; understocking=-0.48; high_risk_shortage=-0.39; low_risk_shortage=0.39	34	0.007%
Other DBSCAN clusters	168	Mixed procurement profile segment · mean PC=(0.43,-0.85,-0.37)	Strongest theme deviations vs cohort (z): normal_inventory=1.16; low_risk_shortage=-0.35; high_risk_shortage=0.35; equal_supply_regions=-0.13; unequal_supply_regions=0.13	35	0.007%
Other DBSCAN clusters	169	Strong understocking / lean-stock segment · mean PC=(-2.71,-0.45,-0.47)	Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; low_risk_shortage=1.02; high_risk_shortage=-1.02; normal_inventory=-0.55	38	0.008%
Other DBSCAN clusters	170	Mixed procurement profile segment · mean PC=(0.76,-0.63,-0.35)	Strongest theme deviations vs cohort (z): normal_inventory=0.71; overstocking=0.31; understocking=-0.31; equal_supply_regions=-0.21; unequal_supply_regions=0.21	21	0.004%
Other DBSCAN clusters	171	Mixed procurement profile segment · mean PC=(0.57,-0.75,-0.37)	Strongest theme deviations vs cohort (z): normal_inventory=1.02; overstocking=0.04; understocking=-0.04; equal_supply_regions=-0.03; unequal_supply_regions=0.03	41	0.008%
Other DBSCAN clusters	172	Mixed procurement profile segment · mean PC=(0.24,-0.97,-0.41)	Strongest theme deviations vs cohort (z): normal_inventory=0.81; overstocking=-0.29; understocking=0.29; high_risk_shortage=0.22; low_risk_shortage=-0.22	43	0.009%
Other DBSCAN clusters	173	Mixed procurement profile segment · mean PC=(-0.29,-0.27,-0.51)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.94; high_risk_shortage=-0.94; normal_inventory=0.37; overstocking=0.24; understocking=-0.24	107	0.022%
Other DBSCAN clusters	174	High shortage-risk segment · mean PC=(0.40,-0.87,-0.36)	Strongest theme deviations vs cohort (z): normal_inventory=1.03; high_risk_shortage=0.91; low_risk_shortage=-0.91; equal_supply_regions=-0.22; unequal_supply_regions=0.22	23	0.005%
Other DBSCAN clusters	175	Strong understocking / lean-stock segment · mean PC=(-2.30,-0.12,-0.25)	Strongest theme deviations vs cohort (z): overstocking=-1.21; understocking=1.21; normal_inventory=-0.69; low_risk_shortage=0.23; high_risk_shortage=-0.23	26	0.005%
Other DBSCAN clusters	176	Strong understocking / lean-stock segment · mean PC=(-2.31,0.05,-0.23)	Strongest theme deviations vs cohort (z): overstocking=-1.10; understocking=1.10; normal_inventory=-0.50; equal_supply_regions=-0.18; unequal_supply_regions=0.18	29	0.006%
Other DBSCAN clusters	177	Moderate understocking segment · mean PC=(-2.35,0.77,-0.14)	Strongest theme deviations vs cohort (z): overstocking=-0.57; understocking=0.57; normal_inventory=0.37; equal_supply_regions=-0.23; unequal_supply_regions=0.23	20	0.004%
Other DBSCAN clusters	178	Strong understocking / lean-stock segment · mean PC=(-2.29,-0.31,-0.28)	Strongest theme deviations vs cohort (z): overstocking=-1.22; understocking=1.22; unequal_supply_regions=0.70; equal_supply_regions=-0.70; normal_inventory=-0.70	24	0.005%
Other DBSCAN clusters	179	High shortage-risk segment · mean PC=(-0.27,-1.31,-0.43)	Strongest theme deviations vs cohort (z): understocking=0.97; overstocking=-0.97; low_risk_shortage=-0.84; high_risk_shortage=0.84; normal_inventory=-0.29	20	0.004%
Other DBSCAN clusters	180	Overstocking-heavy procurement segment · mean PC=(0.18,-0.35,-0.43)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; overstocking=0.77; understocking=-0.77; unequal_supply_regions=0.06	33	0.007%
Other DBSCAN clusters	181	Strong understocking / lean-stock segment · mean PC=(-1.44,-0.15,-0.02)	Strongest theme deviations vs cohort (z): overstocking=-1.28; understocking=1.28; normal_inventory=-0.81; low_risk_shortage=0.66; high_risk_shortage=-0.66	42	0.009%
Other DBSCAN clusters	182	Mixed procurement profile segment · mean PC=(0.44,-0.85,-0.44)	Strongest theme deviations vs cohort (z): normal_inventory=1.11; high_risk_shortage=0.29; low_risk_shortage=-0.29; equal_supply_regions=-0.16; unequal_supply_regions=0.16	45	0.009%
Other DBSCAN clusters	183	Strong understocking / lean-stock segment · mean PC=(-0.34,-1.36,-0.45)	Strongest theme deviations vs cohort (z): understocking=1.07; overstocking=-1.07; normal_inventory=-0.46; high_risk_shortage=0.19; low_risk_shortage=-0.19	20	0.004%
Other DBSCAN clusters	184	Overstocking-heavy procurement segment · mean PC=(1.02,-0.69,-0.31)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.72; low_risk_shortage=0.72; normal_inventory=0.56; understocking=-0.41; overstocking=0.41	23	0.005%
Other DBSCAN clusters	185	Strong understocking / lean-stock segment · mean PC=(-0.28,-1.32,-0.48)	Strongest theme deviations vs cohort (z): understocking=1.00; overstocking=-1.00; low_risk_shortage=-0.35; high_risk_shortage=0.35; normal_inventory=-0.34	78	0.016%
Other DBSCAN clusters	186	Severe surplus / extreme overstocking segment · mean PC=(0.76,0.49,-0.19)	Strongest theme deviations vs cohort (z): overstocking=1.50; understocking=-1.50; normal_inventory=-1.26; high_risk_shortage=-0.69; low_risk_shortage=0.69	44	0.009%
Other DBSCAN clusters	187	Overstocking-heavy procurement segment · mean PC=(1.19,-0.72,-0.26)	Strongest theme deviations vs cohort (z): overstocking=0.55; understocking=-0.55; high_risk_shortage=-0.54; low_risk_shortage=0.54; normal_inventory=0.40	20	0.004%
Other DBSCAN clusters	188	Strong understocking / lean-stock segment · mean PC=(-0.53,-1.00,-0.65)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.82; high_risk_shortage=-0.82; understocking=0.74; overstocking=-0.74; unequal_supply_regions=-0.15	45	0.009%
Other DBSCAN clusters	189	Strong understocking / lean-stock segment · mean PC=(-0.74,-0.53,-0.58)	Strongest theme deviations vs cohort (z): overstocking=-0.69; understocking=0.69; low_risk_shortage=0.68; high_risk_shortage=-0.68; unequal_supply_regions=-0.44	20	0.004%
Other DBSCAN clusters	190	Strong understocking / lean-stock segment · mean PC=(-0.31,-0.45,-0.56)	Strongest theme deviations vs cohort (z): understocking=0.88; overstocking=-0.88; low_risk_shortage=0.71; high_risk_shortage=-0.71; normal_inventory=-0.31	82	0.017%
Other DBSCAN clusters	191	Mixed procurement profile segment · mean PC=(-0.53,-0.28,-0.55)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=0.35; overstocking=-0.25; understocking=0.25	47	0.010%
Other DBSCAN clusters	192	Overstocking-heavy procurement segment · mean PC=(3.64,0.14,0.29)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; overstocking=0.63; understocking=-0.63; normal_inventory=0.27	45	0.009%
Other DBSCAN clusters	193	Mixed procurement profile segment · mean PC=(0.20,-1.01,-0.44)	Strongest theme deviations vs cohort (z): normal_inventory=0.79; unequal_supply_regions=0.23; equal_supply_regions=-0.23; understocking=0.17; overstocking=-0.17	36	0.007%
Other DBSCAN clusters	194	Strong understocking / lean-stock segment · mean PC=(-0.37,-0.73,-0.57)	Strongest theme deviations vs cohort (z): understocking=0.71; overstocking=-0.71; low_risk_shortage=0.63; high_risk_shortage=-0.63; equal_supply_regions=0.14	28	0.006%
Other DBSCAN clusters	195	High shortage-risk segment · mean PC=(0.24,-0.97,-0.46)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.80; low_risk_shortage=-0.80; normal_inventory=0.74; understocking=0.34; overstocking=-0.34	22	0.005%
Other DBSCAN clusters	196	Severe surplus / extreme overstocking segment · mean PC=(1.27,-0.24,-0.19)	Strongest theme deviations vs cohort (z): understocking=-1.26; overstocking=1.26; high_risk_shortage=-0.86; low_risk_shortage=0.86; normal_inventory=-0.78	34	0.007%
Other DBSCAN clusters	197	Mixed procurement profile segment · mean PC=(-0.18,0.51,-0.20)	Strongest theme deviations vs cohort (z): normal_inventory=0.44; understocking=0.24; overstocking=-0.24; equal_supply_regions=-0.16; unequal_supply_regions=0.16	41	0.008%
Other DBSCAN clusters	198	Strong understocking / lean-stock segment · mean PC=(-2.16,0.76,-0.17)	Strongest theme deviations vs cohort (z): overstocking=-0.80; understocking=0.80; low_risk_shortage=0.48; high_risk_shortage=-0.48; equal_supply_regions=-0.13	22	0.005%
Other DBSCAN clusters	199	Mixed procurement profile segment · mean PC=(-0.41,-0.07,-0.48)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.91; low_risk_shortage=0.91; overstocking=-0.34; understocking=0.34; unequal_supply_regions=-0.20	39	0.008%
