value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,26958,0.4538689474038656
Drugs and Pharmaceutical Products,12732,0.21435786921678227
Laboratory and Measuring and Observing and Testing Equipment,7880,0.13266886659034277
Drugs or medicine production services,2091,0.03520439086807192
Laboratory supplies and fixtures,2025,0.03409320492962489
Healthcare Services,544,0.00915886591689676
Office Equipment and Accessories and Supplies,272,0.00457943295844838
Building and Facility Construction and Maintenance Services,271,0.004562596807865849
Laboratory and scientific equipment,230,0.0038723146339820864
Medical laboratories,200,0.003367230116506162
