value,count,share_within_cluster
NCR,70171,0.42365605680061824
Region IV-A,15069,0.09097879636785162
Region III,11962,0.07222034389489954
Region VII,9556,0.05769416537867079
Region I,7412,0.04474980680061824
Region VI,6921,0.041785403786707885
Region V,6612,0.03991982225656878
Region XI,6449,0.0389357129057187
Region X,4820,0.02910065687789799
Region IV-B,4748,0.02866595826893354
