k,silhouette,davies_bouldin,calinski_harabasz,inertia,composite
2,0.2656553052755341,1.4695473760628106,27817.835370274723,239431.47367440967,-3.2971716659901755
3,0.34288339371037635,1.138158859573068,32222.209002435393,178718.03915008658,-1.0453363486671028
4,0.350330395712445,0.9013661922907106,42299.711742568266,124768.05282841786,0.4221220777528544
5,0.3745766443638696,0.8276214635176757,47399.73316722448,95749.66330864574,1.344878689418883
6,0.3863723589529021,0.7975840934364328,45304.62041817061,84214.74303616348,1.4231690736566478
7,0.376965661390279,0.8670146740474127,45720.73585811238,72852.66099871809,1.1523381738288923
