value,count,share_within_cluster
Medical Supplies,24,0.043875685557586835
Medical Supplies and Laboratory Instrument,19,0.03473491773308958
FACILITIES/AMENITIES,17,0.031078610603290677
Drugs and Medicines,11,0.02010968921389397
IMPROVEMENT OF BARANGAY HEALTH CENTER,9,0.016453382084095063
"Medical Supplies, Personal Protective Equipment,",8,0.014625228519195612
Medical supplies and laboratory instrument,8,0.014625228519195612
Laboratory Supplies,7,0.012797074954296161
Medical Oxygen,7,0.012797074954296161
Procurement of Reagenst for RHU Laboratory use,7,0.012797074954296161
