value,count,share_within_cluster
Drugs and Medicines,369,0.43208430913348944
Medical Supplies and Laboratory Instrument,321,0.3758782201405152
Laboratory Supplies and Equipment,54,0.06323185011709602
Hospital / Medical Equipment,31,0.03629976580796253
General Merchandise,17,0.01990632318501171
Veterinary Products and Supplies,12,0.01405152224824356
Medical and Dental Equipment,8,0.00936768149882904
Diagnostic and Laboratory Services,6,0.00702576112412178
Safety and Occupational Products,5,0.00585480093676815
Catering Services,5,0.00585480093676815
